;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 45DC C04.I03 Restauración de ecosistemas e infraestructura verde;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74313; Aportación al FRER para actuaciones de restauración de ecosistemas e infraestructura verde en espacios gestionados por O.A. Parques Nacionales. Mecanismo de Recuperación y Resiliencia;10.970,50;;
;761;Al Ayuntamiento de Sant Feliu de Llobregat para la construcción de un eje para ciclistas y peatones, renaturalizado en el vial adyacente a la Calle del Pla, entre la rotonda de la Calle del Sol a la Calle Ramon y Cajal. Mecanismo de Recuperación y Resiliencia;;1.000,00;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;82.610,10;
 ; ;;;;
 ; ;;;;
23.101;;PARQUES NACIONALES;;12.069,11;
 ; ;;;;
 ; ;;;;
;;TOTAL C04.I03 Restauración de ecosistemas e infraestructura verde;;94.679,21;
;;



