;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 45DD C04.I04 Gestión forestal sostenible;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74314; Aportación al FRER para actuaciones en materia de gestión forestal sostenible en espacios gestionados por O.A. Parques Nacionales. Mecanismo de Recuperación y Resiliencia;2.366,38;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;91.006,41;
 ; ;;;;
 ; ;;;;
23.101;;PARQUES NACIONALES;;6.333,62;
 ; ;;;;
 ; ;;;;
;;TOTAL C04.I04 Gestión forestal sostenible;;97.340,03;
;;



