;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 45EB C05.I02 Seguimiento y restauración de ecosistemas fluviales, recuperación de acuíferos y mitigación del riesgo de inundación;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74020; Aportación al FRER para actuaciones de seguimiento y restauración de ecosistemas fluviales, recuperación de acuíferos y mitigación del riesgo de inundación. Mecanismo de Recuperación y Resiliencia;166.780,19;;
;74221; A la Sociedad Estatal Acuaes para medidas de reducción de la extracción de agua subterránea con la aplicación de recursos alternativos. Mecanismo de Recuperación y Resiliencia;40.000,00;;
;74222; A la Sociedad Estatal Acuamed para medidas de reducción de la extracción de agua subterránea con la aplicación de recursos alternativos. Mecanismo de Recuperación y Resiliencia;278.200,00;;
;74910; A la Fundación Biodiversidad para infraestructuras hidráulicas y preservación de los recursos hídricos. Mecanismo de Recuperación y Resiliencia;3.000,00;;
;752;A la Comunidad Valenciana para la ampliación del Barranco de La Casella para evitar las inundaciones en el casco urbano. Mecanismo de Recuperación y Resiliencia;;5.000,00;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;492.980,19;
 ; ;;;;
 ; ;;;;
23.106;;CONFEDERACIÓN HIDROGRÁFICA DEL GUADIANA;;5.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C05.I02 Seguimiento y restauración de ecosistemas fluviales, recuperación de acuíferos y mitigación del riesgo de inundación;;497.980,19;
;;



