;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
42AB; C01.I02 Plan de incentivos a la instalación de puntos de recarga, a la adquisición de vehículos eléctricos y de pila de combustible y a la innovación en electromovilidad, recarga e hidrógeno verde;455.000,00;;;455.000,00;
42BC; C02.I03 Programa de rehabilitación energética de edificios (PREE);300.000,00;;;300.000,00;
42BD; C02.I04 Programa de regeneración y reto demográfico;225.000,00;;;225.000,00;
42GA; C07.I01 Desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos;780.000,00;;;780.000,00;
42GB; C07.I02 Energía sostenible en las islas;25.000,00;;;25.000,00;
42HA; C08.I01 Despliegue del almacenamiento energético;93.747,41;;;93.747,41;
42HB; C08.I02 Digitalización de las redes;150.000,00;;;150.000,00;
42HC; C08.I03 Nuevos modelos de negocio en la transición energética;56.000,00;;;56.000,00;
42IA; C09.I01 Hidrógeno renovable: un proyecto país;672.817,00;;;672.817,00;
42JA; C10.I01 Inversiones en transición justa;;169.252,59;;169.252,59;
42KD; C11.I04 Plan de Transición Energética en la Administración General del Estado;1.346,60;;;1.346,60;
423N; Explotación minera;14.409,04;;;14.409,04;
424M; Seguridad nuclear y protección radiológica;;;47.931,69;47.931,69;
425A; Normativa y desarrollo energético;825.966,42;;;825.966,42;
45DA; C04.I01 Digitalización y conocimientos del patrimonio natural;48.339,06;1.489,35;;49.828,41;
45DB; C04.I02 Conservación de la biodiversidad terrestre marina;72.680,61;81.634,07;;154.314,68;
45DC; C04.I03 Restauración de ecosistemas e infraestructura verde;82.610,10;12.069,11;;94.679,21;
45DD; C04.I04 Gestión forestal sostenible;91.006,41;6.333,62;;97.340,03;
45EA; C05.I01 Materialización de actuaciones de depuración, saneamiento, eficiencia, ahorro, reutilización y seguridad de infraestructuras (DSEAR);187.000,00;;;187.000,00;
45EB; C05.I02 Seguimiento y restauración de ecosistemas fluviales, recuperación de acuíferos y mitigación del riesgo de inundación;492.980,19;5.000,00;;497.980,19;
45EC; C05.I03 Transición digital en el sector del agua. Infraestructuras y Ecosistemas Resilientes.;370.000,00;;;370.000,00;
45ED; C05.I04 Adaptación de la costa al cambio climático e implementación de las Estrategias Marinas y de los planes de ordenación del espacio marítimo;136.733,33;;;136.733,33;
45LC; C12.I03 Plan de apoyo a la implementación de la normativa de residuos y al fomento de la economía circular;250.000,00;;;250.000,00;
45SA; C19.I01 Competencias digitales transversales. Transición Ecológica;90.000,00;;;90.000,00;
451O; Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico;113.240,45;;;113.240,45;
452A; Gestión e infraestructuras del agua;296.196,51;990.854,29;;1.287.050,80;
452M; Normativa y ordenación territorial de los recursos hídricos;396.494,97;;;396.494,97;
456A; Calidad del agua;213.257,42;51.432,94;;264.690,36;
456B; Protección y mejora del medio ambiente;25.174,88;;;25.174,88;
456C; Protección y mejora del medio natural;224.737,42;60.315,60;;285.053,02;
456D; Actuación en la costa;96.655,45;;;96.655,45;
456E; Reto demográfico y lucha contra la despoblación;71.645,08;;;71.645,08;
456M; Actuaciones para la prevención de la contaminación y el cambio climático;28.647,15;;;28.647,15;
456N; Transición justa;;332.133,18;;332.133,18;
49EC; C05.I03 Transición digital en el sector del agua. Otras actuaciones de carácter económico.;83.457,32;;2.500,00;85.957,32;
495B; Meteorología;;;131.258,14;131.258,14;
;TOTAL CONSOLIDADO;6.970.142,82;1.710.514,75;181.689,83;8.862.347,40;
000X; Transferencias y libramientos internos;4.331.979,07;5.898,10;968,31;4.338.845,48;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;4.331.979,07;5.898,10;968,31;4.338.845,48;
;TOTAL;11.302.121,89;1.716.412,85;182.658,14;13.201.192,88;
;;



