;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 144A Cooperación, promoción y difusión cultural en el exterior;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.03;;DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;359,81;
;23;Indemnizaciones por razón del servicio;;100,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;459,81;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;176,60;
;488;Ayudas relacionadas con el libro;;176,60;
;48801; A la Organización Española para el Libro Infantil y Juvenil (OEPLI);5,00;;
;48802; A la Federación de Gremios de Editores de España para la promoción internacional;171,60;;
;49;Al exterior;;482,00;
;490;Cuotas a organismos internacionales y ayudas a proyectos para la difusión de la cultura española en el exterior;;482,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;658,60;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;;1.118,41;
 ; ;;;;
 ; ;;;;
24.05;;DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;2,07;
;22;Material, suministros y otros;;63,56;
;23;Indemnizaciones por razón del servicio;;74,42;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;140,05;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;100,00;
;489;Premio Velázquez de Artes Plásticas;;100,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;100,00;
 ; ;;;;
;6;INVERSIONES REALES;;5,39;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;370,00;
;753;Ayudas y subvenciones para financiar excavaciones arqueológicas en el exterior;;370,00;
;78;A familias e instituciones sin fines de lucro;;56,00;
;788;Ayudas y subvenciones para financiar excavaciones arqueológicas en el exterior;;56,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;426,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;;671,44;
 ; ;;;;
 ; ;;;;
24.06;;SECRETARÍA DE ESTADO DE CULTURA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;315,39;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;18,28;
;16000; Seguridad Social;18,28;;
;;TOTAL GASTOS DE PERSONAL;;333,67;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;2,00;
;22;Material, suministros y otros;;722,20;
;23;Indemnizaciones por razón del servicio;;92,35;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;816,55;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;709,99;
;483;Premio Luso Español;;37,50;
;485;A familias e instituciones sin fines de lucro para cooperación cultural y becas;;349,50;
;489;Otras ayudas y subvenciones;;322,99;
;49;Al exterior;;322,50;
;490;Ayudas a proyectos para la difusión de la cultura española en el exterior;;322,50;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.032,49;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE CULTURA;;2.182,71;
 ; ;;;;
 ; ;;;;
24.103;;INSTITUTO DE LA CINEMATOGRAFÍA Y DE LAS ARTES AUDIOVISUALES;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;612,24;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;3.338,50;
;490;Cuotas de organismos internacionales y participación en programas culturales;;3.338,50;
;;TOTAL TRANSFERENCIAS CORRIENTES;;3.338,50;
 ; ;;;;
;;TOTAL INSTITUTO DE LA CINEMATOGRAFÍA Y DE LAS ARTES AUDIOVISUALES;;3.950,74;
 ; ;;;;
 ; ;;;;
24.107;;INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;380,79;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;67,38;
;450;Programa de ayudas para la proyección exterior de entidades y formaciones musicales y teatrales de titularidad pública dependientes de comunidades autónomas;;67,38;
;46;A Entidades Locales;;67,38;
;460;Programa de ayudas para la proyección exterior de entidades y formaciones musicales y teatrales de titularidad pública dependientes de corporaciones locales;;67,38;
;47;A empresas privadas;;1.111,45;
;471;Programa de ayudas para orquestas, grupos de cámara, compañías de teatro, circenses y de danza para giras por el extranjero;;1.111,45;
;48;A familias e instituciones sin fines de lucro;;254,59;
;482;Programa de becas y ayudas a personas o asociaciones para actividades musicales, líricas, teatrales, circenses y coreográficas en el exterior;;254,59;
;49;Al exterior;;485,88;
;494;Contribuciones y cuotas internacionales;;485,88;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.986,68;
 ; ;;;;
;;TOTAL INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA;;2.367,47;
 ; ;;;;
 ; ;;;;
;;TOTAL Cooperación, promoción y difusión cultural en el exterior;;10.290,77;
;;



