;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 322L Inversiones en centros educativos y otras actividades educativas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.105;;GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;820,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.023,00;
 ; ;;;;
;6;INVERSIONES REALES;;14.661,62;
 ; ;;;;
;;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;15.684,62;
 ; ;;;;
 ; ;;;;
;;TOTAL Inversiones en centros educativos y otras actividades educativas;;15.684,62;
;;



