;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 334A Promoción y cooperación cultural;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.01;24.04;24.105;;;Total;
1;GASTOS DE PERSONAL;;1.782,53;;;;1.782,53;
10; Altos cargos;;61,04;;;;61,04;
12; Funcionarios;;1.306,38;;;;1.306,38;
13; Laborales;;193,00;;;;193,00;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;222,11;;;;222,11;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.742,29;10,00;;;1.752,29;
20; Arrendamientos y cánones;;18,00;;;;18,00;
21; Reparaciones, mantenimiento y conservación;;;5,00;;;5,00;
22; Material, suministros y otros;;1.659,29;5,00;;;1.664,29;
23; Indemnizaciones por razón del servicio;;65,00;;;;65,00;
4;TRANSFERENCIAS CORRIENTES;210.350,00;20.680,42;;;;231.030,42;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;460,00;;;;460,00;
45; A Comunidades Autónomas;;100,00;;;;100,00;
46; A Entidades Locales;;15.600,00;;;;15.600,00;
48; A familias e instituciones sin fines de lucro;210.350,00;4.520,42;;;;214.870,42;
6;INVERSIONES REALES;;43,00;;;;43,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;13,00;;;;13,00;
64; Gastos de inversiones de carácter inmaterial;;30,00;;;;30,00;
7;TRANSFERENCIAS DE CAPITAL;;54.396,00;;;;54.396,00;
75; A Comunidades Autónomas;;31.947,50;;;;31.947,50;
76; A Entidades Locales;;22.358,50;;;;22.358,50;
78; A familias e instituciones sin fines de lucro;;90,00;;;;90,00;
;TOTAL;210.350,00;78.644,24;10,00;;;289.004,24;
;;



