;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 335A Música y danza;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.105;24.107;Total;
1;GASTOS DE PERSONAL;;37.871,87;37.871,87;
10; Altos cargos;;61,04;61,04;
12; Funcionarios;;5.861,40;5.861,40;
13; Laborales;;24.350,56;24.350,56;
15; Incentivos al rendimiento;;516,02;516,02;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;7.082,85;7.082,85;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5,00;33.848,94;33.853,94;
20; Arrendamientos y cánones;;1.193,23;1.193,23;
21; Reparaciones, mantenimiento y conservación;5,00;1.867,63;1.872,63;
22; Material, suministros y otros;;7.097,56;7.097,56;
23; Indemnizaciones por razón del servicio;;1.984,77;1.984,77;
24; Gastos de publicaciones;;78,00;78,00;
28; Gastos relacionados con la actividad comercial;;21.627,75;21.627,75;
3;GASTOS FINANCIEROS;;53,48;53,48;
35; Intereses de demora y otros gastos financieros;;53,48;53,48;
4;TRANSFERENCIAS CORRIENTES;;40.007,60;40.007,60;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;12.202,31;12.202,31;
45; A Comunidades Autónomas;;15.256,93;15.256,93;
46; A Entidades Locales;;1.002,08;1.002,08;
47; A empresas privadas;;4.748,54;4.748,54;
48; A familias e instituciones sin fines de lucro;;6.797,74;6.797,74;
6;INVERSIONES REALES;2.250,00;4.008,36;6.258,36;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;634,00;634,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.250,00;3.312,71;5.562,71;
64; Gastos de inversiones de carácter inmaterial;;61,65;61,65;
7;TRANSFERENCIAS DE CAPITAL;;4.551,00;4.551,00;
75; A Comunidades Autónomas;;2.051,00;2.051,00;
76; A Entidades Locales;;2.500,00;2.500,00;
8;ACTIVOS FINANCIEROS;;30,00;30,00;
83; Concesión de préstamos fuera del Sector Público;;30,00;30,00;
;TOTAL;2.255,00;120.371,25;122.626,25;
;;



