;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 337B Conservación y restauración de bienes culturales;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.05;;DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;1.466,44;
;13;Laborales;;2.340,18;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;858,88;
;16000; Seguridad Social;858,88;;
;;TOTAL GASTOS DE PERSONAL;;4.665,50;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;24,00;
;21;Reparaciones, mantenimiento y conservación;;548,00;
;22;Material, suministros y otros;;921,50;
;22502; Locales;25,00;;
;23;Indemnizaciones por razón del servicio;;350,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.843,50;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;70,00;
;481;Premios nacionales;;30,00;
;485;Transferencias a instituciones culturales;;40,00;
;48503; A la Fundación Docomomo Ibérico para proyectos de difusión, publicaciones y exposiciones sobre la conservación de la arquitectura y urbanismo del Movimiento Moderno;20,00;;
;48508; A la Fundación Santa María de Albarracín para proyectos de conservación y restauración y para formación en áreas de la España Vaciada;20,00;;
;49;Al exterior;;60,00;
;491;Cuotas a organismos internacionales y para proyectos de cooperación internacional;;60,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;130,00;
 ; ;;;;
;6;INVERSIONES REALES;;;
;631;Inversiones producto del 2% cultural, artículo 68 Ley 16/85, de 25 de Junio, del Patrimonio Histórico Español, para obras de conservación y restauración de bienes culturales;;10,00;
;;TOTAL INVERSIONES REALES;;18.632,93;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;78,00;
;756;Ayudas en concurrencia competitiva a proyectos de salvaguardia del patrimonio cultural inmaterial;;78,00;
;76;A Entidades Locales;;12.943,00;
;760;A ayuntamientos, diputaciones y otros entes locales;;12.865,00;
;76001; Al Ayuntamiento de Toledo para la recuperación y musealización del yacimiento arqueológico de la Vega Baja;400,00;;
;76003; Al Ayuntamiento de Sestao para la restauración del Alto Horno de Sestao;200,00;;
;76004; Al Ajuntament de Portbou para Proyecto de la Casa de Walter Benjamin;30,00;;
;76008; Al Ayuntamiento de Rubielos de Mora para intervención en el Castillo;500,00;;
;76009; Al Ayuntamiento de Montalbán para restauración de la Iglesia;700,00;;
;76010; Al Ayuntamiento de Manzanera para las Murallas;100,00;;
;76011; Al Ayuntamiento de Basauri para restauración del Edificio "La Basconia";4.000,00;;
;76012; Al Ayuntamiento de Eibar para el plan especial de rehabilitación integrada del Área de Murrategi;3.000,00;;
;76013; Al Ayuntamiento del Valle de Aranguren para investigaciones, excavaciones arqueológicas y actuaciones de puesta en valor y musealizacion del yacimiento arqueológico situado en el Monte Irulegi;300,00;;
;76014; Al Ayuntamiento de Amposta para la rehabilitación del convento y antiguo colegio de Les Carmelites Missioneres Teresianes de Amposta;3.000,00;;
;76016; Al Ayuntamiento de Benifairó de les Valls para la rehabilitación del Palau Vives de Canyamàs en Benifairó de les Valls (BIC);300,00;;
;76017; Al Ayuntamiento de Benifairó de la Valldigna para la restauración del Castell de Marinyen en Benifairó de la Valldigna;200,00;;
;76020; Al Ajuntament de Lladurs para cierre perimetral del conjunto histórico (BCIN) del Castell de Lladurs;35,00;;
;76067; Al Ayuntamiento de Segovia para trabajos de restauración en el Acueducto;100,00;;
;766;Ayudas en concurrencia competitiva a proyectos de salvaguardia del patrimonio cultural inmaterial;;78,00;
;78;A familias e instituciones sin fines de lucro;;499,00;
;784;A otras instituciones sin fines de lucro;;380,00;
;78401; A la Asociación Cultural Casino Llagosterenc para mejora de las instalaciones del Casino Llagosterenc;100,00;;
;78402; A la Parròquia de Sant Feliu de Sabadell para la renovación de la instalación eléctrica e iluminación;80,00;;
;78403; A la Congregación de Mercedarios para rehabilitación de las cubiertas del Convent Mercedari de Sant Ramon Nonat;200,00;;
;786;Ayudas en concurrencia competitiva a proyectos de salvaguardia del patrimonio cultural inmaterial;;78,00;
;787;A la Diócesis de Lugo para trabajos de mejora en el Monasterio San Vicente do Pino (Monforte de Lemos);;41,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;13.520,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;;38.791,93;
 ; ;;;;
 ; ;;;;
24.105;;GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;5,00;
 ; ;;;;
;6;INVERSIONES REALES;;10,00;
 ; ;;;;
;;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;15,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Conservación y restauración de bienes culturales;;38.806,93;
;;



