;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 337B Conservación y restauración de bienes culturales;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.05;24.105;Total;
1;GASTOS DE PERSONAL;4.665,50;;4.665,50;
12; Funcionarios;1.466,44;;1.466,44;
13; Laborales;2.340,18;;2.340,18;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;858,88;;858,88;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.843,50;5,00;1.848,50;
20; Arrendamientos y cánones;24,00;;24,00;
21; Reparaciones, mantenimiento y conservación;548,00;5,00;553,00;
22; Material, suministros y otros;921,50;;921,50;
23; Indemnizaciones por razón del servicio;350,00;;350,00;
4;TRANSFERENCIAS CORRIENTES;130,00;;130,00;
48; A familias e instituciones sin fines de lucro;70,00;;70,00;
49; Al exterior;60,00;;60,00;
6;INVERSIONES REALES;18.632,93;10,00;18.642,93;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;4.000,00;;4.000,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;791,93;;791,93;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;13.141,00;10,00;13.151,00;
64; Gastos de inversiones de carácter inmaterial;700,00;;700,00;
7;TRANSFERENCIAS DE CAPITAL;13.520,00;;13.520,00;
75; A Comunidades Autónomas;78,00;;78,00;
76; A Entidades Locales;12.943,00;;12.943,00;
78; A familias e instituciones sin fines de lucro;499,00;;499,00;
;TOTAL;38.791,93;15,00;38.806,93;
;;



