Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Total (miles euros);Total (euros)
144A;Cooperación, promoción y difusión cultural en el exterior;333,67;2.409,44;—;7.116,27;5,39;426;—;10.290,77;10.290.770,00
321M;Dirección y Servicios Generales de Educación, FP y Deportes;—;1.704,00;—;—;40;—;—;1.744,00;1.744.000,00
322L;Inversiones en centros educativos y otras actividades educativas;—;1.023,00;—;—;14.661,62;—;—;15.684,62;15.684.620,00
331M;Dirección y Servicios Generales de Cultura;35.767,82;11.918,23;4,5;81,5;8.253,32;—;160,94;56.186,31;56.186.310,00
332A;Archivos;14.159,64;9.194,08;1;301,31;23.980,00;75;—;47.711,03;47.711.030,00
332B;Bibliotecas;19.610,14;11.876,46;1;1.501,62;32.065,33;—;63;65.117,55;65.117.550,00
333A;Museos;71.971,66;60.439,11;45;26.004,63;67.458,59;7.458,00;152,8;233.529,79;233.529.790,00
333B;Exposiciones;327,76;779,29;—;460;27,24;—;—;1.594,29;1.594.290,00
334A;Promoción y cooperación cultural;1.782,53;1.752,29;—;231.030,42;43;54.396,00;—;289.004,24;289.004.240,00
334B;Promoción del libro y publicaciones culturales;2.045,34;1.580,84;—;6.865,00;45;3.355,88;—;13.892,06;13.892.060,00
334C;Fomento de las industrias culturales;732,29;—;—;1.500,00;—;3.940,00;11.000,00;17.172,29;17.172.290,00
335A;Música y danza;37.871,87;33.853,94;53,48;40.007,60;6.258,36;4.551,00;30;122.626,25;122.626.250,00
335B;Teatro;17.773,78;22.065,20;30;12.916,53;4.029,62;3.000,00;401,72;60.216,85;60.216.850,00
335C;Cinematografía;8.549,22;4.252,61;40;150.382,67;3.835,00;30;54;167.143,50;167.143.500,00
337B;Conservación y restauración de bienes culturales;4.665,50;1.848,50;—;130;18.642,93;13.520,00;—;38.806,93;38.806.930,00
337C;Protección del Patrimonio Histórico;2.569,64;2.050,64;5;1.573,83;6.937,50;660;—;13.796,61;13.796.610,00
TOTAL CONSOLIDADO;;218.160,86;166.747,63;179,98;479.871,38;186.282,90;91.411,88;11.862,46;1.154.517,09;1.154.517.090,00
000X;Transferencias y libramientos internos;—;—;—;376.246,18;—;123.488,83;—;499.735,01;499.735.010,00
TOTAL GENERAL;;218.160,86;166.747,63;179,98;856.117,56;186.282,90;214.900,71;11.862,46;1.654.252,10;1.654.252.100,00
