;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Programa: 261M Dirección y Servicios Generales de Vivienda y Agenda Urbana;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;25.01;;Total;
1;GASTOS DE PERSONAL;6.667,78;;6.667,78;
10; Altos cargos;151,94;;151,94;
11; Personal eventual;194,97;;194,97;
12; Funcionarios;4.169,64;;4.169,64;
15; Incentivos al rendimiento;1.544,88;;1.544,88;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;606,35;;606,35;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;285,00;;285,00;
22; Material, suministros y otros;35,00;;35,00;
23; Indemnizaciones por razón del servicio;250,00;;250,00;
;TOTAL;6.952,78;;6.952,78;
;;



