;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Programa: 261O Ordenación y fomento de la edificación;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
25.10;;DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;1.404,58;
;13;Laborales;;101,50;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;210,00;
;16000; Seguridad Social;210,00;;
;;TOTAL GASTOS DE PERSONAL;;1.777,12;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;972,25;
;22601; Atenciones protocolarias y representativas;2,25;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;972,25;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;300,00;
;483;Premios Casa de la Arquitectura;;90,00;
;484;COAC Para la organización Congreso de la Unión Internacional de Arquitectos y actos vinculados a la Capitalidad Mundial de la Arquitectura 2026;;150,00;
;488;Premios Nacionales de Arquitectura, Urbanismo y Vivienda;;60,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;300,00;
 ; ;;;;
;6;INVERSIONES REALES;;24.450,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;256,49;
;741;Acción Cultural Española: Bienal de Venecia;;250,00;
;748;Actuaciones relacionadas con el 1% Cultural;;6,49;
;75;A Comunidades Autónomas;;206,49;
;751;Actuaciones relacionadas con el 1% Cultural;;6,49;
;758;Organismos públicos de Comunidades Autónomas;;200,00;
;75800; Fundación General de la Universidad Politécnica de Madrid. Edificación Sostenible;50,00;;
;75809; Escuela de Arquitectura. Universidad de Castilla-La Mancha;50,00;;
;75810; Universidad Politécnica de Cataluña. Escuela Técnica Superior de Arquitectura Barcelona;50,00;;
;75811; Universidad Politécnica de Madrid. Escuela Técnica Superior de Arquitectura Madrid;50,00;;
;76;A Entidades Locales;;36,49;
;764;Actuaciones relacionadas con el 1 % Cultural;;6,49;
;766;Fundación Mies Van der Rohe;;30,00;
;77;A empresas privadas;;6,49;
;770;Actuaciones relacionadas con el 1 % Cultural;;6,49;
;78;A familias e instituciones sin fines de lucro;;2.436,49;
;783;Consejo Superior de Colegios de Arquitectos de España. EUROPAN;;100,00;
;785;Consejo Superior de Arquitectos de España. Bienales de Arquitectura (Española e Iberoamericana);;500,00;
;787;Otras transferencias a fundaciones y entidades sin ánimo de lucro;;1.830,00;
;78701; Fundación DOCOMOMO;40,00;;
;78702; Green Building Council - España;120,00;;
;78706; Fundación Caja de Arquitectos, para la elaboración de la web de promoción y difusión de la arquitectura;325,00;;
;78707; Fundación Arquitectura y Sociedad;60,00;;
;78708; Fundación Alejandro de la Sota;30,00;;
;78711; Fundación Arquitectura Contemporánea;10,00;;
;78713; Asociación Culture Care para celebración de Open House. Madrid;20,00;;
;78719; Fundación Miralles;30,00;;
;78722; Asociación 48h Open House Barcelona;20,00;;
;78724; Festival Internacional de Arquitectura y Diseño de Logroño. Concéntrico;20,00;;
;78725; Madrid Design Festival;15,00;;
;78726; Consejo General de la Arquitectura Técnico de España, CGATE. Convención Internacional de la Arquitectura Técnica CONTART;60,00;;
;78728; CSCAE. Bienal Internacional de Arquitectura y Diseño Mediterráneo;300,00;;
;78729; IAAC. Instituto para la arquitectura avanzada de Cataluña;30,00;;
;78730; CSCAE. Congreso Barcelona Capital mundial de la Arquitectura;200,00;;
;78731; Fundación Caja de Arquitectos. TAC Festival de Arquitectura Urbana;250,00;;
;78732; Centro Nacional de Industrialización de Navarra;300,00;;
;789;Actuaciones relacionadas con el 1 % Cultural;;6,49;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.942,45;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA;;30.441,82;
 ; ;;;;
 ; ;;;;
;;TOTAL Ordenación y fomento de la edificación;;30.441,82;
;;



