;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
25.10;;DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;900,00;
;730;Consejo Superior de Investigaciones Científicas (CSIC);;900,00;
;73000; CSIC para el estudio base herramientas Código Técnico de la Edificación (Instituto de Ciencias de la Construcción Eduardo Torroja);900,00;;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;900,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA;;900,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;900,00;
;;



