Económica;Explicación;26.03 ;26.05 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;3.625,02;5.366,01;8.991,03;8.991.030,00
10;Altos cargos;71,16;61,04;132,2;132.200,00
12;Funcionarios;2.984,19;3.984,08;6.968,27;6.968.270,00
13;Laborales;107,96;689,12;797,08;797.080,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;461,71;631,77;1.093,48;1.093.480,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.645,00;13.461,86;17.106,86;17.106.860,00
20;Arrendamientos y cánones;—;200,76;200,76;200.760,00
21;Reparaciones, mantenimiento y conservación;—;1.500,00;1.500,00;1.500.000,00
22;Material, suministros y otros;3.315,00;11.761,10;15.076,10;15.076.100,00
23;Indemnizaciones por razón del servicio;330;—;330;330.000,00
4;TRANSFERENCIAS CORRIENTES;2.006,95;—;2.006,95;2.006.950,00
45;A Comunidades Autónomas;2.006,95;—;2.006,95;2.006.950,00
458;Mejora del sistema de información sanitaria del SNS;2.006,95;—;2.006,95;2.006.950,00
6;INVERSIONES REALES;—;861,04;861,04;861.040,00
;TOTAL PROGRAMA 313E – Salud Digital, Información e Innovación del SNS;9.276,97;19.688,91;28.965,88;28.965.880,00
