;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 313D Donación y trasplante de órganos, tejidos y células;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
26.105;;ORGANIZACIÓN NACIONAL DE TRASPLANTES;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;249,79;
;150;Productividad;;69,21;
;151;Gratificaciones;;3,36;
;154;Productividad personal estatutario factor fijo;;63,80;
;155;Productividad personal estatutario factor variable.;;113,42;
;16000; Seguridad Social;534,61;;
;16200; Formación y perfeccionamiento del personal;2,50;;
;16204; Acción social;5,74;;
;;TOTAL GASTOS DE PERSONAL;;2.930,47;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22502; Locales;28,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.107,12;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;2.126,62;
;480;A familias e instituciones sin fines de lucro. Becas;;67,45;
;482;A instituciones y entidades de cualquier titularidad, sin ánimo de lucro, para el fomento de la donación y el trasplante de órganos y tejidos;;2.059,17;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.126,62;
 ; ;;;;
;6;INVERSIONES REALES;;267,55;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;25,00;
;831;Préstamos a largo plazo;;25,00;
;;TOTAL ACTIVOS FINANCIEROS;;25,00;
 ; ;;;;
;;TOTAL ORGANIZACIÓN NACIONAL DE TRASPLANTES;;6.456,76;
 ; ;;;;
 ; ;;;;
;;TOTAL Donación y trasplante de órganos, tejidos y células;;6.456,76;
;;



