Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Total (miles euros);Total (euros)
231A;Plan Nacional sobre Drogas;2.840,58;1.130,58;10.530,89;;609,79;;15.111,84;15.111.840
311M;Dirección y Servicios Generales de Sanidad;29.514,07;5.495,96;2.353,06;2.034,54;24,92;40,5;39.463,05;39.463.050,00
311O;Políticas de Salud y Ordenación Profesional;4.362,38;3.434,34;;9;;;7.805,72;7.805.720
313A;Prestaciones sanitarias y farmacia;33.897,77;29.729,76;114.360,00;28.187,39;;80;206.254,92;206.254.920
313B;Salud pública, sanidad exterior y calidad;9.224,37;30.902,61;108.758,84;469,15;568.374,00;;717.728,97;717.728.970,00
313D;Donación y trasplante de órganos, tejidos y células;2.930,47;1.107,12;2.126,62;267,55;;25;6.456,76;6.456.760
313E;Salud Digital, Información e Innovación del SNS;8.991,03;17.106,86;2.006,95;861,04;;;28.965,88;28.965.880
TOTAL CONSOLIDADO;—;91.760,67;88.907,23;240.136,36;31.828,67;569.008,71;145,5;1.021.787,14;1.021.787.140
000X;Transferencias y libramientos internos;;;314.789,83;;22.364,90;;337.154,73;337.154.730
TOTAL GENERAL;—;91.760,67;88.907,23;554.926,19;31.828,67;591.373,61;145,5;1.358.941,87;1.358.941.870
