Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27.01;10;Altos cargos;416,91;416.910,00
27.01;11;Personal eventual;718,75;718.750,00
27.01;12;Funcionarios;20.752,61;20.752.610,00
27.01;13;Laborales;1.935,25;1.935.250,00
27.01;15;Incentivos al rendimiento;3.251,50;3.251.500,00
27.01;150;Productividad;3.153,99;3.153.990,00
27.01;151;Gratificaciones;97,51;97.510,00
27.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.267,40;3.267.400,00
27.01;16000;Seguridad Social;1.909,96;1.909.960,00
27.01;16200;Formación y perfeccionamiento del personal;224,5;224.500,00
27.01;16201;Economatos y comedores;129,43;129.430,00
27.01;16204;Acción social;684,25;684.250,00
27.01;21;Reparaciones, mantenimiento y conservación;1.970,76;1.970.760,00
27.01;22;Material, suministros y otros;14.771,15;14.771.150,00
27.01;22502;Locales;903,5;903.500,00
27.01;22601;Atenciones protocolarias y representativas;56,49;56.490,00
27.01;23;Indemnizaciones por razón del servicio;520;520.000,00
27.01;35;Intereses de demora y otros gastos financieros;15;15.000,00
27.01;6;Inversiones reales;5.067,64;5.067.640,00
27.01;83;Concesión de préstamos fuera del Sector Público;191,32;191.320,00
27.01;830;Préstamos a corto plazo;25,77;25.770,00
27.01;831;Préstamos a largo plazo;165,55;165.550,00
—;—;Total 27.01 – Ministerio, Subsecretaría y Servicios Generales;52.878,29;52.878.290,00
27.02;10;Altos cargos;61,04;61.040,00
27.02;12;Funcionarios;2.020,74;2.020.740,00
27.02;16;Seguridad Social;240,63;240.630,00
27.02;22;Material, suministros y otros;31,65;31.650,00
27.02;22601;Atenciones protocolarias y representativas;1,2;1.200,00
27.02;22610;Arbitrajes de Derecho Internacional;1;1.000,00
27.02;23;Indemnizaciones por razón del servicio;16,15;16.150,00
27.02;24;Gastos de publicaciones;86,78;86.780,00
—;—;Total 27.02 – Secretaría General Técnica;2.456,99;2.456.990,00
27.03;10;Altos cargos;80,3;80.300,00
27.03;11;Personal eventual;215,15;215.150,00
27.03;12;Funcionarios;661,55;661.550,00
27.03;15;Incentivos al rendimiento;3.629,46;3.629.460,00
27.03;150;Productividad;3.629,46;3.629.460,00
27.03;16;Seguridad Social;104,74;104.740,00
27.03;21;Reparaciones, mantenimiento y conservación;7,75;7.750,00
27.03;22;Material, suministros y otros;45,81;45.810,00
27.03;22601;Atenciones protocolarias y representativas;8,89;8.890,00
27.03;23;Indemnizaciones por razón del servicio;45,77;45.770,00
27.03;35;Intereses de demora y otros gastos financieros;2,65;2.650,00
27.03;352;Intereses de demora;2,65;2.650,00
27.03;6;Inversiones reales;2,1;2.100,00
—;—;Total 27.03 – Secretaría de Estado de Economía y Apoyo a la Empresa;4.795,28;4.795.280,00
27.10;10;Altos cargos;80,3;80.300,00
27.10;11;Personal eventual;210,14;210.140,00
27.10;12;Funcionarios;2.389,82;2.389.820,00
27.10;13;Laborales;389,03;389.030,00
27.10;15;Incentivos al rendimiento;1.872,19;1.872.190,00
27.10;150;Productividad;1.835,93;1.835.930,00
27.10;151;Gratificaciones;36,26;36.260,00
27.10;16;Seguridad Social;275,99;275.990,00
27.10;21;Reparaciones, mantenimiento y conservación;75,32;75.320,00
27.10;22;Material, suministros y otros;373,04;373.040,00
27.10;22109;Labores Fábrica Nacional Moneda y Timbre;2;2.000,00
27.10;22601;Atenciones protocolarias y representativas;8,7;8.700,00
27.10;23;Indemnizaciones por razón del servicio;99,6;99.600,00
27.10;482;Cámara Oficial de Comercio – Fondos Comunitarios;1.000,00;1.000.000,00
27.10;6;Inversiones reales;72,5;72.500,00
—;—;Total 27.10 – Secretaría de Estado de Comercio;6.837,93;6.837.930,00
27.14;20;Arrendamientos y cánones;756,5;756.500,00
27.14;202;Arrendamientos de edificios y otras construcciones;756,5;756.500,00
27.14;21;Reparaciones, mantenimiento y conservación;170,17;170.170,00
27.14;22;Material, suministros y otros;1.708,36;1.708.360,00
27.14;22198;Gastos por uso compartido de inmueble en Pamplona (obligaciones anteriores);59;59.000,00
27.14;22502;Locales;72,54;72.540,00
27.14;23;Indemnizaciones por razón del servicio;190,78;190.780,00
27.14;6;Inversiones reales;128,91;128.910,00
—;—;Total 27.14 – Dirección General de Comercio Internacional e Inversiones;2.954,72;2.954.720,00
—;—;27.01 Ministerio, Subsecretaría y Servicios Generales;52.878,29;52.878.290,00
—;—;27.02 Secretaría General Técnica;2.456,99;2.456.990,00
—;—;27.03 Secretaría de Estado de Economía y Apoyo a la Empresa;4.795,28;4.795.280,00
—;—;27.10 Secretaría de Estado de Comercio;6.837,93;6.837.930,00
—;—;27.14 Dirección General de Comercio Internacional e Inversiones;2.954,72;2.954.720,00
—;—;—;69.923,21;69.923.210,00
