;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 425A Normativa y desarrollo energético;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.302;;COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;77;A empresas privadas;;3.514.141,75;
;771;Para actuaciones de almacenamiento subterráneo;;6.334,75;
;777;Para financiar costes del sector eléctrico, de acuerdo con el artículo 30.4 de la Ley 7/2021, de 20 de mayo, de Cambio Climático y Transición Energética;;1.100.000,00;
;778;Para financiar costes del sector eléctrico de acuerdo con la disposición adicional segunda de la Ley 15/2012, de 27 de diciembre, de medidas fiscales para la sostenibilidad energética;;1.762.000,00;
;779;Para atender el extracoste de generación al que se refiere la disposición adicional decimoquinta de la Ley 24/2013, de 26 de diciembre, del Sector Eléctrico;;645.807,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;3.514.141,75;
 ; ;;;;
;;TOTAL COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;;3.514.141,75;
 ; ;;;;
 ; ;;;;
;;TOTAL Normativa y desarrollo energético;;3.514.141,75;
;;



