;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 491N Servicio postal universal;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.302;;COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;110.000,00;
;440;Financiación prestación Servicio Postal Universal;;110.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;110.000,00;
 ; ;;;;
;;TOTAL COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;;110.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Servicio postal universal;;110.000,00;
;;



