;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 493M Dirección, control y gestión de seguros;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.07;;DIRECCIÓN GENERAL DE SEGUROS Y FONDOS DE PENSIONES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;9.219,64;
;13;Laborales;;660,63;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.103,64;
;16000; Seguridad Social;1.103,64;;
;;TOTAL GASTOS DE PERSONAL;;11.044,95;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;1.228,18;
;22;Material, suministros y otros;;1.220,92;
;22601; Atenciones protocolarias y representativas;1,96;;
;23;Indemnizaciones por razón del servicio;;176,97;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.626,07;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;1.999,93;
;496;Cuotas a organizaciones internacionales de seguros;;1.999,93;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.999,93;
 ; ;;;;
;6;INVERSIONES REALES;;3.267,47;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE SEGUROS Y FONDOS DE PENSIONES;;18.938,42;
 ; ;;;;
 ; ;;;;
;;TOTAL Dirección, control y gestión de seguros;;18.938,42;
;;



