;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 923C Elaboración y difusión estadística;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.101;;INSTITUTO NACIONAL DE ESTADÍSTICA;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;3.961,45;
;150;Productividad;;3.791,06;
;151;Gratificaciones;;170,39;
;16000; Seguridad Social;19.577,73;;
;16200; Formación y perfeccionamiento del personal;147,36;;
;16204; Acción social;290,00;;
;;TOTAL GASTOS DE PERSONAL;;121.426,15;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;7.650,53;
;22109; Labores Fábrica Nacional Moneda y Timbre;34,11;;
;22502; Locales;1.469,85;;
;22601; Atenciones protocolarias y representativas;9,36;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;29.454,40;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;36,31;
;352;Intereses de demora;;35,14;
;359;Otros gastos financieros;;1,17;
;;TOTAL GASTOS FINANCIEROS;;36,31;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;510,80;
;480;A la Sociedad Española de Estadística e Investigación Operativa (AECA);;3,90;
;483;Becas de postgrado para formación de estadísticos;;472,80;
;484;A la Asociación XBRL España para la difusión de estándares de tecnología;;3,50;
;488;Premio Nacional de Estadística;;30,00;
;489;A la Sociedad Hispanoamericana de Análisis Input-Output (SHAIO);;0,60;
;49;Al exterior;;7,78;
;491;Cuotas a organismos internacionales;;7,78;
;;TOTAL TRANSFERENCIAS CORRIENTES;;518,58;
 ; ;;;;
;6;INVERSIONES REALES;;38.793,65;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;818,00;
;760;Para gastos originados por la explotación estadística del Padrón Municipal y la actualización mensual del Censo Electoral;;818,00;
;78;A familias e instituciones sin fines de lucro;;1.494,46;
;780;Para proyectos de inversión científica, desarrollo e innovación tecnológica;;1.494,46;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.312,46;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;247,62;
;831;Préstamos a largo plazo;;247,62;
;;TOTAL ACTIVOS FINANCIEROS;;247,62;
 ; ;;;;
;;TOTAL INSTITUTO NACIONAL DE ESTADÍSTICA;;192.789,17;
 ; ;;;;
 ; ;;;;
;;TOTAL Elaboración y difusión estadística;;192.789,17;
;;



