;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 923Q Dirección y Servicios Generales de Economía, Comercio y Empresa;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;416,91;
;11;Personal eventual;;718,75;
;12;Funcionarios;;20.752,61;
;13;Laborales;;1.935,25;
;15;Incentivos al rendimiento;;3.251,50;
;150;Productividad;;3.153,99;
;151;Gratificaciones;;97,51;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.267,40;
;16000; Seguridad Social;1.909,96;;
;16200; Formación y perfeccionamiento del personal;224,50;;
;16201; Economatos y comedores;129,43;;
;16204; Acción social;684,25;;
;;TOTAL GASTOS DE PERSONAL;;30.342,42;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;1.970,76;
;22;Material, suministros y otros;;14.771,15;
;22502; Locales;903,50;;
;22601; Atenciones protocolarias y representativas;56,49;;
;23;Indemnizaciones por razón del servicio;;520,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;17.261,91;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;15,00;
;352;Intereses de demora;;15,00;
;;TOTAL GASTOS FINANCIEROS;;15,00;
 ; ;;;;
;6;INVERSIONES REALES;;5.067,64;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;191,32;
;830;Préstamos a corto plazo;;25,77;
;831;Préstamos a largo plazo;;165,55;
;;TOTAL ACTIVOS FINANCIEROS;;191,32;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;52.878,29;
 ; ;;;;
 ; ;;;;
27.02;;SECRETARÍA GENERAL TÉCNICA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;2.020,74;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;240,63;
;16000; Seguridad Social;240,63;;
;;TOTAL GASTOS DE PERSONAL;;2.322,41;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;31,65;
;22601; Atenciones protocolarias y representativas;1,20;;
;22610; Gastos derivados de arbitrajes de Derecho Internacional;1,00;;
;23;Indemnizaciones por razón del servicio;;16,15;
;24;Gastos de publicaciones;;86,78;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;134,58;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL TÉCNICA;;2.456,99;
 ; ;;;;
 ; ;;;;
27.03;;SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;80,30;
;11;Personal eventual;;215,15;
;12;Funcionarios;;661,55;
;15;Incentivos al rendimiento;;3.629,46;
;150;Productividad;;3.629,46;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;104,74;
;16000; Seguridad Social;104,74;;
;;TOTAL GASTOS DE PERSONAL;;4.691,20;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;7,75;
;22;Material, suministros y otros;;45,81;
;22601; Atenciones protocolarias y representativas;8,89;;
;23;Indemnizaciones por razón del servicio;;45,77;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;99,33;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;2,65;
;352;Intereses de demora;;2,65;
;;TOTAL GASTOS FINANCIEROS;;2,65;
 ; ;;;;
;6;INVERSIONES REALES;;2,10;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;;4.795,28;
 ; ;;;;
 ; ;;;;
27.10;;SECRETARÍA DE ESTADO DE COMERCIO;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;80,30;
;11;Personal eventual;;210,14;
;12;Funcionarios;;2.389,82;
;13;Laborales;;389,03;
;15;Incentivos al rendimiento;;1.872,19;
;150;Productividad;;1.835,93;
;151;Gratificaciones;;36,26;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;275,99;
;16000; Seguridad Social;275,99;;
;;TOTAL GASTOS DE PERSONAL;;5.217,47;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;75,32;
;22;Material, suministros y otros;;373,04;
;22109; Labores Fábrica Nacional Moneda y Timbre;2,00;;
;22601; Atenciones protocolarias y representativas;8,70;;
;23;Indemnizaciones por razón del servicio;;99,60;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;547,96;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;1.000,00;
;482;A la Cámara Oficial de Comercio, Industria, Servicios y Navegación de España como organismo intermedio de los Fondos Comunitarios;;1.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.000,00;
 ; ;;;;
;6;INVERSIONES REALES;;72,50;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE COMERCIO;;6.837,93;
 ; ;;;;
 ; ;;;;
27.14;;DIRECCIÓN GENERAL DE COMERCIO INTERNACIONAL E INVERSIONES;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;756,50;
;202;Arrendamientos de edificios y otras construcciones;;756,50;
;21;Reparaciones, mantenimiento y conservación;;170,17;
;22;Material, suministros y otros;;1.708,36;
;22198; Gastos utilización conjunta del inmueble sito en Pamplona, Paseo de Sarasate, 1, según convenio. Obligaciones de ejercicios anteriores;59,00;;
;22502; Locales;72,54;;
;23;Indemnizaciones por razón del servicio;;190,78;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.825,81;
 ; ;;;;
;6;INVERSIONES REALES;;128,91;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE COMERCIO INTERNACIONAL E INVERSIONES;;2.954,72;
 ; ;;;;
 ; ;;;;
;;TOTAL Dirección y Servicios Generales de Economía, Comercio y Empresa;;69.923,21;
;;



