;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 931M Previsión y política económica;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.03;;SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;12.630,00;
;359;Otros gastos financieros;;12.630,00;
;;TOTAL GASTOS FINANCIEROS;;12.630,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;250,00;
;483;Becas Fulbright de la Secretaría de Estado de Economía y Apoyo a la Empresa;;200,00;
;484;Aportación a la Fundación Real Instituto Elcano de Estudios Internacionales y Estratégicos;;50,00;
;49;Al exterior;;2.000,00;
;492;Mecanismo Europeo de Estabilidad (MEDE) intereses negativos;;2.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.250,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;372,07;
;744;Subvenciones de intereses por préstamos de líneas de mediación instrumentados por el ICO;;372,07;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;372,07;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;89;Suscripción de acciones y aportaciones de fondos a organismos internacionales;;1,00;
;892;Aportación al Mecanismo Europeo de Estabilidad (MEDE);;1,00;
;;TOTAL ACTIVOS FINANCIEROS;;1,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;;15.253,07;
 ; ;;;;
 ; ;;;;
27.05;;DIRECCIÓN GENERAL DE POLÍTICA ECONÓMICA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;3.428,07;
;13;Laborales;;51,35;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;388,29;
;16000; Seguridad Social;388,29;;
;;TOTAL GASTOS DE PERSONAL;;3.928,75;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;50,00;
;22;Material, suministros y otros;;383,03;
;22601; Atenciones protocolarias y representativas;3,16;;
;23;Indemnizaciones por razón del servicio;;130,15;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;563,18;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;47;A empresas privadas;;3,50;
;470;Cuotas Nacionales;;3,50;
;;TOTAL TRANSFERENCIAS CORRIENTES;;3,50;
 ; ;;;;
;6;INVERSIONES REALES;;204,49;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE POLÍTICA ECONÓMICA;;4.699,92;
 ; ;;;;
 ; ;;;;
27.06;;DIRECCIÓN GENERAL DE ANÁLISIS ECONÓMICO;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;1.690,65;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;236,09;
;16000; Seguridad Social;236,09;;
;;TOTAL GASTOS DE PERSONAL;;1.987,78;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;140,68;
;22601; Atenciones protocolarias y representativas;4,22;;
;23;Indemnizaciones por razón del servicio;;116,24;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;256,92;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;21,00;
;491;Contribución al Foro Global de Productividad OCDE;;21,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;21,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE ANÁLISIS ECONÓMICO;;2.265,70;
 ; ;;;;
 ; ;;;;
;;TOTAL Previsión y política económica;;22.218,69;
;;



