;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.03;;SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;139.253,04;
;415;Al Instituto Nacional de Estadística (INE);;139.253,04;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;54.503,15;
;437;A la Comisión Nacional de los Mercados y la Competencia (CNMC);;54.503,15;
;;TOTAL TRANSFERENCIAS CORRIENTES;;193.756,19;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;24.053,12;
;714;Al Instituto Nacional de Estadística (INE);;24.053,12;
;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;3.913,71;
;737;A la Comisión Nacional de los Mercados y la Competencia (CNMC);;3.913,71;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;27.966,83;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;;221.723,02;
 ; ;;;;
 ; ;;;;
27.102;;INSTITUTO DE CONTABILIDAD Y AUDITORÍA DE CUENTAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;393,46;
;402;Al Estado, para compensar gastos de gestión centralizada;;393,46;
;;TOTAL TRANSFERENCIAS CORRIENTES;;393,46;
 ; ;;;;
;;TOTAL INSTITUTO DE CONTABILIDAD Y AUDITORÍA DE CUENTAS;;393,46;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;222.116,48;
;;



