Económica;Explicación;28.06;28.07;28.08;28.09;28.50;28.103;28.107;28.301;28.303;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;656.917,31;44;15.000,00;57.134,96;—;—;1.494,31;—;—;730.590,58;730.590.580,00
41;A Organismos Autónomos;186.828,18;—;—;57.134,96;—;—;1.494,31;—;—;245.457,45;245.457.450,00
43;A otras entidades del Sector Público Administrativo Estatal;470.089,13;44;15.000,00;—;—;—;—;—;—;485.133,13;485.133.130,00
7;TRANSFERENCIAS DE CAPITAL;932.062,96;15;300.000,00;1.453,03;866.436,11;28,65;248,66;—;88.686,40;2.188.930,81;2.188.930.810,00
71;A Organismos Autónomos;98.710,70;—;—;1.453,03;185.608,02;—;19,36;—;6.657,81;292.448,92;292.448.920,00
73;A otras entidades del Sector Público Administrativo Estatal;833.352,26;15;300.000,00;—;680.828,09;28,65;229,3;—;82.028,59;1.896.481,89;1.896.481.890,00
8;ACTIVOS FINANCIEROS;—;4.163,97;—;—;—;—;—;—;—;4.163,97;4.163.970,00
82;Concesión de préstamos al Sector Público;—;4.163,97;—;—;—;—;—;—;—;4.163,97;4.163.970,00
9;PASIVOS FINANCIEROS;—;—;—;—;450;—;—;—;1.177,64;1.627,64;1.627.640,00
91;Amortización de préstamos en euros;—;—;—;—;450;—;—;—;1.177,64;1.627,64;1.627.640,00
—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;1.588.980,27;4.222,97;315.000,00;58.587,99;866.436,11;478,65;248,66;2.671,95;88.686,40;2.925.313,00;2.925.313.000,00
