;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 143A Cooperación para el desarrollo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.301;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.540,00;;1.540,00;
22; Material, suministros y otros;370,00;;370,00;
23; Indemnizaciones por razón del servicio;1.170,00;;1.170,00;
6;INVERSIONES REALES;1.570,00;;1.570,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;20,00;;20,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;5,00;;5,00;
64; Gastos de inversiones de carácter inmaterial;1.545,00;;1.545,00;
;TOTAL;3.110,00;;3.110,00;
;;



