;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 144B Cooperación, promoción y difusión educativa en el exterior;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.102;;Total;
1;GASTOS DE PERSONAL;656,11;;656,11;
12; Funcionarios;330,75;;330,75;
13; Laborales;111,97;;111,97;
15; Incentivos al rendimiento;12,61;;12,61;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;200,78;;200,78;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.088,37;;1.088,37;
20; Arrendamientos y cánones;5,25;;5,25;
21; Reparaciones, mantenimiento y conservación;24,15;;24,15;
22; Material, suministros y otros;985,47;;985,47;
23; Indemnizaciones por razón del servicio;68,25;;68,25;
24; Gastos de publicaciones;5,25;;5,25;
3;GASTOS FINANCIEROS;1,00;;1,00;
35; Intereses de demora y otros gastos financieros;1,00;;1,00;
4;TRANSFERENCIAS CORRIENTES;178,64;;178,64;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1,00;;1,00;
45; A Comunidades Autónomas;65,70;;65,70;
47; A empresas privadas;18,00;;18,00;
48; A familias e instituciones sin fines de lucro;71,94;;71,94;
49; Al exterior;22,00;;22,00;
6;INVERSIONES REALES;106,29;;106,29;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;16,29;;16,29;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;55,00;;55,00;
64; Gastos de inversiones de carácter inmaterial;35,00;;35,00;
8;ACTIVOS FINANCIEROS;8,00;;8,00;
83; Concesión de préstamos fuera del Sector Público;8,00;;8,00;
;TOTAL;2.038,41;;2.038,41;
;;



