;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46QD C17.I04 Nueva carrera científica;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.103;;CENTRO DE INVESTIGACIONES ENERGÉTICAS, MEDIOAMBIENTALES Y TECNOLÓGICAS;;26,30;
 ; ;;;;
 ; ;;;;
28.107;;INSTITUTO DE SALUD CARLOS III;;52,60;
 ; ;;;;
 ; ;;;;
28.301;;CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS;;2.956,70;
 ; ;;;;
 ; ;;;;
28.303;;AGENCIA ESTATAL DE INVESTIGACIÓN;;215.974,40;
 ; ;;;;
 ; ;;;;
;;TOTAL C17.I04 Nueva carrera científica;;219.010,00;
;;



