;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46QE C17.I05 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Transferencia de conocimiento;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74913; Al CDTI para las ayudas NEOTEC. Mecanismo de Recuperación y Resiliencia;35.000,00;;
;74917; Al CDTI para ayudas a Ecosistemas de innovación basados en las Redes de Excelencia Cervera. Mecanismo de Recuperación y Resiliencia;6.680,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;41.680,00;
 ; ;;;;
 ; ;;;;
28.301;;CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS;;268,01;
 ; ;;;;
 ; ;;;;
;;TOTAL C17.I05 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Transferencia de conocimiento;;41.948,01;
;;



