Económica;Explicación;29.04 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;567,81;567,81;567.810,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;391,47;391,47;391.470,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;115,3;115,3;115.300,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.298,90;2.298,90;2.298.900,00
22;Material, suministros y otros;2.268,90;2.268,90;2.268.900,00
23;Indemnizaciones por razón del servicio;30;30;30.000,00
4;TRANSFERENCIAS CORRIENTES;4.615,00;4.615,00;4.615.000,00
46;A Entidades Locales;1.950,00;1.950,00;1.950.000,00
48;A familias e instituciones sin fines de lucro;2.665,00;2.665,00;2.665.000,00
—;TOTAL PROGRAMA 232F;7.481,71;7.481,71;7.481.710,00
