Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.01;10;Altos cargos;208,56;208.560,00
29.01;11;Personal eventual;517,75;517.750,00
29.01;12;Funcionarios;9.640,93;9.640.930,00
29.01;13;Laborales;2.177,35;2.177.350,00
29.01;15;Incentivos al rendimiento;3.041,11;3.041.110,00
29.01;150;Productividad;2.999,86;2.999.860,00
29.01;151;Gratificaciones;41,25;41.250,00
29.01;16;Cuotas, prestaciones y gastos sociales;2.024,45;2.024.450,00
29.01;16000;Seguridad Social;1.532,13;1.532.130,00
29.01;16200;Formación y perfeccionamiento del personal;138,08;138.080,00
29.01;16204;Acción social;97,58;97.580,00
—;—;Total Gastos de Personal – 29.01;17.610,15;17.610.150,00
29.01;20;Arrendamientos y cánones;1.042,30;1.042.300,00
29.01;202;Arrendamientos de edificios y otras construcciones;1.023,99;1.023.990,00
29.01;21;Reparaciones, mantenimiento y conservación;465,86;465.860,00
29.01;22;Material, suministros y otros;5.892,63;5.892.630,00
29.01;22109;Labores Fábrica Nacional Moneda y Timbre;0,54;540
29.01;22502;Locales;1.250,00;1.250.000,00
29.01;22601;Atenciones protocolarias y representativas;63,06;63.060,00
29.01;23;Indemnizaciones por razón del servicio;327,95;327.950,00
—;—;Total Gastos Corrientes – 29.01;7.728,74;7.728.740,00
29.01;6;Inversiones reales;1.942,00;1.942.000,00
29.01;83;Concesión de préstamos fuera del Sector Público;42,88;42.880,00
29.01;830;Préstamos a corto plazo;2,5;2.500,00
29.01;831;Préstamos a largo plazo;40,38;40.380,00
—;—;Total Ministerio, Subsecretaría y Servicios Generales;27.323,77;27.323.770,00
29.02;10;Altos cargos;61,04;61.040,00
29.02;12;Funcionarios;1.645,42;1.645.420,00
29.02;16;Seguridad Social;362,56;362.560,00
—;—;Total Gastos de Personal – 29.02;2.069,02;2.069.020,00
29.02;22;Material, suministros y otros;102,4;102.400,00
29.02;22601;Atenciones protocolarias y representativas;2,40;2.400,00
29.02;23;Indemnizaciones por razón del servicio;87,46;87.460,00
29.02;24;Gastos de publicaciones;21,09;21.090,00
—;—;Total Gastos Corrientes – 29.02;210,95;210.950,00
29.02;49;Al exterior;11,3;11.300,00
29.02;491;Aportación a organismos y programas internacionales;11,3;11.300,00
—;—;Total Secretaría General Técnica;2.291,27;2.291.270,00
 ; ;29.01 Ministerio, Subsecretaría y Servicios Generales;27.323,77;27.323.770,00
;;29.02 Secretaría General Técnica;2.291,27;2.291.270,00
;;—;29.615,04;29.615.040,00
