;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 231F Otros servicios sociales del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
29.03;;SECRETARÍA DE ESTADO DE DERECHOS SOCIALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;80,30;
;11;Personal eventual;;253,20;
;12;Funcionarios;;985,04;
;13;Laborales;;51,32;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;341,24;
;16000; Seguridad Social;341,24;;
;;TOTAL GASTOS DE PERSONAL;;1.711,10;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;186,80;
;22601; Atenciones protocolarias y representativas;11,80;;
;23;Indemnizaciones por razón del servicio;;74,53;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;261,33;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;1.093,00;
;760;Para actuaciones de acción social;;1.093,00;
;76000; Ajuntament de Térmens. Construcción centro de atención integral en el ámbito rural para personas mayores;843,00;;
;76001; Entitat Municipal Descentralitzada Bítem. Segunda fase de construcción del casal de los jubilados;250,00;;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;1.093,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DERECHOS SOCIALES;;3.065,43;
 ; ;;;;
 ; ;;;;
29.05;;DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;2.461,61;
;13;Laborales;;256,72;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;493,91;
;16000; Seguridad Social;493,91;;
;;TOTAL GASTOS DE PERSONAL;;3.273,28;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;875,35;
;22601; Atenciones protocolarias y representativas;2,40;;
;23;Indemnizaciones por razón del servicio;;31,94;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;907,29;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;105,00;
;440;A la Fundación Víctimas del terrorismo;;105,00;
;45;A Comunidades Autónomas;;320.440,07;
;453;Programas de servicios sociales;;204.704,00;
;454;Para actividades de competencia autonómica de interés general consideradas de interés social con cargo al 0,7% del Impuesto sobre la Renta de las Personas Físicas y del Impuesto sobre Sociedades;;85.661,07;
;455;A la Comunidad Autónoma de Canarias. Programa de lucha contra la pobreza y prestaciones básicas de servicios sociales;;30.000,00;
;458;Plan Estatal del Voluntariado. Congreso Estatal del Voluntariado;;75,00;
;46;A Entidades Locales;;26,00;
