;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 921Y Agenda 2030;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
29.07;;DIRECCIÓN GENERAL DE AGENDA 2030;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;141,34;
;12;Funcionarios;;1.033,97;
;13;Laborales;;236,39;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;378,83;
;16000; Seguridad Social;378,83;;
;;TOTAL GASTOS DE PERSONAL;;1.790,53;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;3.234,44;
;22601; Atenciones protocolarias y representativas;14,20;;
;23;Indemnizaciones por razón del servicio;;220,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.454,44;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;46;A Entidades Locales;;6.600,00;
;460;Acciones para el impulso de la Agenda 2030 en las Entidades Locales;;6.600,00;
;48;A familias e instituciones sin fines de lucro;;10.800,00;
;480;Subvenciones a Sociedad Civil. Programas de apoyo a la implementación de iniciativas alineadas con la Agenda 2030.;;10.000,00;
;481;Reconocimiento de aplicación de la Agenda 2030;;200,00;
;483;A la FEMP, para actuaciones de fortalecimiento de la Red de Entidades Locales para la Agenda 2030;;600,00;
;49;Al exterior;;2.000,00;
;492;Contribución voluntaria a Fondo Conjunto de las Naciones Unidas para los ODS;;2.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;19.400,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE AGENDA 2030;;24.644,97;
 ; ;;;;
 ; ;;;;
;;TOTAL Agenda 2030;;24.644,97;
;;



