;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;Programa: 232M Dirección y Servicios Generales de Igualdad;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
30.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;269,60;
;11;Personal eventual;;518,07;
;12;Funcionarios;;5.016,14;
;13;Laborales;;587,98;
;15;Incentivos al rendimiento;;1.713,83;
;150;Productividad;;1.702,69;
;151;Gratificaciones;;11,14;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.079,53;
;16000; Seguridad Social;934,22;;
;16200; Formación y perfeccionamiento del personal;50,00;;
;16204; Acción social;40,31;;
;;TOTAL GASTOS DE PERSONAL;;9.185,15;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;90,00;
;21;Reparaciones, mantenimiento y conservación;;357,25;
;22;Material, suministros y otros;;2.498,12;
;22502; Locales;225,00;;
;22601; Atenciones protocolarias y representativas;75,50;;
;23;Indemnizaciones por razón del servicio;;375,00;
;24;Gastos de publicaciones;;150,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.470,37;
 ; ;;;;
;6;INVERSIONES REALES;;620,20;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;25,00;
;830;Préstamos a corto plazo;;5,00;
;831;Préstamos a largo plazo;;20,00;
;;TOTAL ACTIVOS FINANCIEROS;;25,00;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;13.300,72;
 ; ;;;;
 ; ;;;;
;;TOTAL Dirección y Servicios Generales de Igualdad;;13.300,72;
;;



