Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
31.03;11;Personal eventual;253,2;253.200,00
31.03;23;Indemnizaciones por razón del servicio;25,2;25.200,00
31.03;48;A familias e instituciones sin fines de lucro;30,00;30.000,00
31.03;484;Premio Nacional de Fomento de la Creatividad en el Juguete;30;30.000,00
—;—;Total Secretaría de Estado de Juventud e Infancia;308,4;308.400,00
31.04;10;Altos cargos;61,04;61.040,00
31.04;12;Funcionarios;1.133,87;1.133.870,00
31.04;13;Laborales;482,19;482.190,00
31.04;16;Cuotas, prestaciones y gastos sociales;366,13;366.130,00
31.04;16000;Seguridad Social;366,13;366.130,00
31.04;22;Material, suministros y otros;2.262,40;2.262.400,00
31.04;22601;Atenciones protocolarias y representativas;2,4;2.400,00
31.04;23;Indemnizaciones por razón del servicio;23,22;23.220,00
31.04;45;A Comunidades Autónomas;35.000,00;35.000.000,00
31.04;46;A Entidades Locales;0,01;10
31.04;48;A familias e instituciones sin fines de lucro;1.748,60;1.748.600,00
31.04;480–487;Subconceptos de transferencias a entidades colaboradoras y proyectos sociales;1.758,60;1.758.600,00
31.04;76;A Entidades Locales – Transferencias de capital;52;52.000,00
—;—;Total Dirección General de Derechos de la Infancia y la Adolescencia;41.129,46;41.129.460,00
;;31.03 Secretaría de Estado de Juventud e Infancia;308,4;308.400,00
;;31.04 Dirección General de Derechos de la Infancia;41.129,46;41.129.460,00
;;—;41.437,86;41.437.860,00
