;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;Programa: 232A Promoción y servicios a la juventud;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
31.101;;INSTITUTO DE LA JUVENTUD;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;267,51;
;150;Productividad;;238,77;
;151;Gratificaciones;;28,74;
;16000; Seguridad Social;1.979,43;;
;16200; Formación y perfeccionamiento del personal;33,33;;
;16201; Economatos y comedores;75,00;;
;16204; Acción social;16,86;;
;;TOTAL GASTOS DE PERSONAL;;9.421,25;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22502; Locales;93,21;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;8.519,20;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;26,00;
;352;Intereses de demora;;10,00;
;359;Otros gastos financieros;;16,00;
;;TOTAL GASTOS FINANCIEROS;;26,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;40,00;
;448;A Sociedades, Entidades públicas empresariales, Fundaciones y resto de entes del sector público. Programa Erasmus + (2021-2027);;20,00;
;449;A Sociedades, Entidades públicas empresariales, Fundaciones y resto de entes del sector público. Programa Cuerpo Europeo de Solidaridad (2021-2027);;20,00;
;45;A Comunidades Autónomas;;1.398,23;
;455;A Entidades de las Comunidades Autónomas participantes en el Programa Erasmus+/Juventud;;45,37;
;457;A Entidades de las Comunidades Autónomas participantes en el Programa Cuerpo Europeo de Solidaridad;;2,86;
;458;A entidades de las Comunidades Autónomas participantes en el Programa Erasmus + (2021-2027);;1.200,00;
;459;A entidades de las Comunidades Autónomas participantes en el Programa Cuerpo Europeo de Solidaridad (2021-2027);;150,00;
;46;A Entidades Locales;;2.368,34;
;465;A Entidades de la Administración Local Programa Erasmus+/Juventud;;172,18;
;467;A Entidades de la Administración Local Programa Cuerpo Europeo de solidaridad;;46,16;
;468;A entidades de la Administración local. Programa Erasmus + (2021-2027);;1.600,00;
;469;A entidades de la Administración local. Programa Cuerpo Europeo de Solidaridad (2021-2027);;550,00;
;47;A empresas privadas;;2.072,52;
;475;A empresas privadas Programa Erasmus+/Juventud;;122,52;
;476;Ayudas a Emprendimiento Joven;;200,00;
;478;A empresas privadas. Programa Erasmus + (2021-2027);;1.400,00;
;479;A empresas privadas. Programa Cuerpo Europeo de Solidaridad (2021-2027);;350,00;
;48;A familias e instituciones sin fines de lucro;;29.700,43;
;480;Convenio con la entidad corporativa de base privada Consejo de la Juventud de España;;950,00;
;481;A Asociaciones juveniles y entidades de ámbito nacional prestadoras de servicios a la juventud;;1.362,76;
;482;Convenio con la Federación Española de Municipios y Provincias;;200,00;
;483;A la asociación Be Wild Be Proud para la Ruta al Exilio;;60,00;
;485;A entidades, asociaciones y jóvenes participantes Programa Erasmus+/Juventud;;2.329,18;
;486;Convocatoria de premios INJUVE;;280,00;
;487;A entidades, asociaciones y jóvenes participantes Programa Cuerpo Europeo de Solidaridad;;318,49;
;488;A entidades, asociaciones y jóvenes participantes en el Programa Erasmus + (2021-2027);;16.000,00;
;489;A entidades, asociaciones y jóvenes participantes en el Programa Cuerpo Europeo de Solidaridad (2021-2027);;8.200,00;
;49;Al exterior;;453,45;
;491;Cuotas a Organismos Internacionales;;94,50;
;492;A la Organización Iberoamericana de Juventud para los gastos de funcionamiento previstos en el Convenio entre España y esta organización internacional;;278,95;
;493;Convenios internacionales para la cofinanciación de estrategias europeas con cargo a los programas Erasmus + Juventud y Cuerpo Europeo de Solidaridad;;80,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;36.032,97;
 ; ;;;;
;6;INVERSIONES REALES;;197,22;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;78;A familias e instituciones sin fines de lucro;;50,00;
;780;Al Consejo de la Juventud de España;;50,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;50,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;29,95;
;831;Préstamos a largo plazo;;29,95;
;;TOTAL ACTIVOS FINANCIEROS;;29,95;
 ; ;;;;
;;TOTAL INSTITUTO DE LA JUVENTUD;;54.276,59;
 ; ;;;;
 ; ;;;;
;;TOTAL Promoción y servicios a la juventud;;54.276,59;
;;



