;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;Programa: 232A Promoción y servicios a la juventud;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;31.101;;Total;
1;GASTOS DE PERSONAL;9.421,25;;9.421,25;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;4.594,93;;4.594,93;
13; Laborales;2.350,61;;2.350,61;
15; Incentivos al rendimiento;267,51;;267,51;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.147,16;;2.147,16;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.519,20;;8.519,20;
20; Arrendamientos y cánones;18,00;;18,00;
21; Reparaciones, mantenimiento y conservación;566,82;;566,82;
22; Material, suministros y otros;7.715,82;;7.715,82;
23; Indemnizaciones por razón del servicio;121,78;;121,78;
24; Gastos de publicaciones;96,78;;96,78;
3;GASTOS FINANCIEROS;26,00;;26,00;
35; Intereses de demora y otros gastos financieros;26,00;;26,00;
4;TRANSFERENCIAS CORRIENTES;36.032,97;;36.032,97;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;40,00;;40,00;
45; A Comunidades Autónomas;1.398,23;;1.398,23;
46; A Entidades Locales;2.368,34;;2.368,34;
47; A empresas privadas;2.072,52;;2.072,52;
48; A familias e instituciones sin fines de lucro;29.700,43;;29.700,43;
49; Al exterior;453,45;;453,45;
6;INVERSIONES REALES;197,22;;197,22;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;197,22;;197,22;
7;TRANSFERENCIAS DE CAPITAL;50,00;;50,00;
78; A familias e instituciones sin fines de lucro;50,00;;50,00;
8;ACTIVOS FINANCIEROS;29,95;;29,95;
83; Concesión de préstamos fuera del Sector Público;29,95;;29,95;
;TOTAL;54.276,59;;54.276,59;
;;



