;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;Programa: 232N Dirección y Servicios Generales de Juventud e Infancia;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;31.01;31.02;Total;
1;GASTOS DE PERSONAL;8.011,41;953,01;8.964,42;
10; Altos cargos;208,56;61,04;269,60;
11; Personal eventual;518,37;;518,37;
12; Funcionarios;3.741,11;679,97;4.421,08;
15; Incentivos al rendimiento;2.601,16;;2.601,16;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;942,21;212,00;1.154,21;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.322,41;34,84;1.357,25;
20; Arrendamientos y cánones;773,00;;773,00;
21; Reparaciones, mantenimiento y conservación;37,00;;37,00;
22; Material, suministros y otros;427,61;12,34;439,95;
23; Indemnizaciones por razón del servicio;84,80;22,50;107,30;
6;INVERSIONES REALES;75,00;;75,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;75,00;;75,00;
;TOTAL;9.408,82;987,85;10.396,67;
;;



