Económica;Explicación;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;150;150.000,00
48;A familias e instituciones sin fines de lucro;150;150.000,00
485;A UNE para apoyo al CTN-133, posicionamiento español en ETSI y difusión de normas;150;150.000,00
6;INVERSIONES REALES;3.620,35;3.620.350,00
7;TRANSFERENCIAS DE CAPITAL;6.500,00;6.500.000,00
76;A Entidades Locales;500;500.000,00
768;A Fundación Barcelona Mobile World Capital Foundation – Observatorio Nacional 5G;500;500.000,00
77;A empresas privadas;6.000,00;6.000.000,00
771;A Fianzas SGR – fondo de provisiones técnicas;500;500.000,00
772;A Donostialdea Ikusentzunezkoak S.A. – digitalización de medios en euskera;500;500.000,00
773;A Euskal Irrati Zerbitzuak S.L. – digitalización de medios en euskera;1.000,00;1.000.000,00
776;Programas de desarrollo del Hub audiovisual;4.000,00;4.000.000,00
8;ACTIVOS FINANCIEROS;5.000,00;5.000.000,00
82;Préstamos al Sector Público;2.500,00;2.500.000,00
821;Línea ENISA Impulso Sector Audiovisual;2.500,00;2.500.000,00
83;Préstamos fuera del Sector Público;2.500,00;2.500.000,00
831;Fondo IBERMEDIA – Conferencia de Autoridades Audiovisuales Iberoamérica;2.500,00;2.500.000,00
—;TOTAL ORGÁNICA 33.03;15.270,35;15.270.350,00
1;GASTOS DE PERSONAL;2.699,98;2.699.980,00
12;Funcionarios;2.330,24;2.330.240,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;369,74;369.740,00
16000;Seguridad Social;369,74;369.740,00
4;TRANSFERENCIAS CORRIENTES;2.395,00;2.395.000,00
44;A entidades públicas estatales;1.045,00;1.045.000,00
441;Fundación Residencia de Estudiantes;120;120.000,00
443;INCIBE – nodo internacional de ciberseguridad;305;305.000,00
446;Red.es;400;400.000,00
448;INCIBE;220;220.000,00
48;A familias e instituciones sin fines de lucro;1.350,00;1.350.000,00
485;UNE – comités de tecnologías digitales;150;150.000,00
486;FEMP – Oficina Técnica RECI;200;200.000,00
488;Asociación Gaia – ecosistema español de compartición de datos;1.000,00;1.000.000,00
6;INVERSIONES REALES;14.582,76;14.582.760,00
7;TRANSFERENCIAS DE CAPITAL;24.300,00;24.300.000,00
74;A entidades públicas estatales;10.000,00;10.000.000,00
740;España Digital 2025;500;500.000,00
743;A Red.es;6.500,00;6.500.000,00
74303;Talento y emprendimiento digital;4.500,00;4.500.000,00
74304;Digitalización;1.000,00;1.000.000,00
74309;Estrategia España Digital 2025;1.000,00;1.000.000,00
744;A INCIBE;3.000,00;3.000.000,00
74401;Desarrollo industrial;3.000,00;3.000.000,00
75;A Comunidades Autónomas;1.000,00;1.000.000,00
759;España Digital 2025;1.000,00;1.000.000,00
76;A Entidades Locales;5.000,00;5.000.000,00
768;Fundación Barcelona Mobile World Capital;5.000,00;5.000.000,00
77;A empresas privadas;5.300,00;5.300.000,00
773;Key Digital Technologies (KDT);3.500,00;3.500.000,00
776;España Digital 2025;1.000,00;1.000.000,00
778;Organización del South Summit España;800;800.000,00
78;A familias e instituciones sin fines de lucro;3.000,00;3.000.000,00
782;España Digital 2025;500;500.000,00
783;Key Digital Technologies (KDT);2.500,00;2.500.000,00
8;ACTIVOS FINANCIEROS;144.825,40;144.825.400,00
82;Préstamos al Sector Público;5.000,00;5.000.000,00
822;ENISA – apoyo a startups lideradas por mujeres;5.000,00;5.000.000,00
83;Préstamos fuera del Sector Público;17.649,77;17.649.770,00
831;Préstamos a largo plazo;17.649,77;17.649.770,00
87;Aportaciones patrimoniales;122.175,63;122.175.630,00
872;Red.es – socio en INCIBE;20.000,00;20.000.000,00
873;Red.es – desarrollo de España como nación emprendedora;17.000,00;17.000.000,00
874;Red.es – digitalización de la PYME;15.000,00;15.000.000,00
876;Red.es – aportación general;70.175,63;70.175.630,00
—;TOTAL ORGÁNICA 33.04;188.803,14;188.803.140,00
;33.03 Telecomunicaciones;15.270,35;15.270.350,00
;33.04 Digitalización e Inteligencia Artificial;188.803,14;188.803.140,00
;TOTAL PROGRAMA 467I;204.073,49;204.073.490,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
 ;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
 ;;;
;;;
 ;;;
 ;;;
