;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 921N Dirección y organización de la Administración Pública;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.06;;SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;263,42;
;11;Personal eventual;;253,40;
;12;Funcionarios;;10.630,58;
;13;Laborales;;105,52;
;15;Incentivos al rendimiento;;3.079,44;
;150;Productividad;;2.235,40;
;151;Gratificaciones;;48,19;
;155;Participación del personal en los programas de calidad regulados en el Real Decreto 951/2005, de 29 de julio;;795,85;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.052,14;
;16000; Seguridad Social;1.052,14;;
;;TOTAL GASTOS DE PERSONAL;;15.384,50;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;180,00;
;202;Arrendamientos de edificios y otras construcciones;;180,00;
;21;Reparaciones, mantenimiento y conservación;;5,03;
;22;Material, suministros y otros;;567,94;
;22601; Atenciones protocolarias y representativas;16,38;;
;23;Indemnizaciones por razón del servicio;;252,75;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.005,72;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;47;A empresas privadas;;13,24;
;470;Cuotas Nacionales;;13,24;
;48;A familias e instituciones sin fines de lucro;;1.233,95;
;482;Apoyo instrumental a la negociación colectiva a las Organizaciones Sindicales que participan en las Mesas de Negociación reguladas en Real Decreto Legislativo 5/2015, de 30 de octubre;;1.218,65;
;486;Pensiones a funcionarios y protección familiar;;15,30;
;49;Al exterior;;94,00;
;491;Contribución a Open Government Partnership (OGP);;94,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.341,19;
 ; ;;;;
;6;INVERSIONES REALES;;876,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;;18.607,41;
 ; ;;;;
 ; ;;;;
;;TOTAL Dirección y organización de la Administración Pública;;18.607,41;
;;



