;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 34 RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;
;Programa: 943N Cooperación a través del Fondo Europeo de Desarrollo y del Fondo Europeo de Apoyo a la Paz;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
34.01;;DIRECCIÓN GENERAL FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;94.000,00;
;499;Aportación al Fondo Europeo de Apoyo a la Paz;;94.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;94.000,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;79;Al exterior;;170.000,00;
;791;Aportación al Fondo Europeo de Desarrollo (FED);;170.000,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;170.000,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;264.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Cooperación a través del Fondo Europeo de Desarrollo y del Fondo Europeo de Apoyo a la Paz;;264.000,00;
;;



