;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 35 FONDO DE CONTINGENCIA;
;Programa: 929N Fondo de contingencia de ejecución presupuestaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
35.01;;DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA;;;
;5;FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;;;
;50;Dotación al Fondo de Contingencia de ejecución presupuestaria;;3.964.420,00;
;500;Fondo de Contingencia de Ejecución Presupuestaria, Artículo 50 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria;;3.964.420,00;
;;TOTAL FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;;3.964.420,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA;;3.964.420,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Fondo de contingencia de ejecución presupuestaria;;3.964.420,00;
;;



