;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 37 OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;
;Programa: 453A Infraestructura del transporte ferroviario;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;37.01;;Total;
7;TRANSFERENCIAS DE CAPITAL;10.556,17;;10.556,17;
75; A Comunidades Autónomas;10.556,17;;10.556,17;
;TOTAL;10.556,17;;10.556,17;
;;



