;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 38 SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;
;Programa: 941O Otras transferencias a Comunidades Autónomas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
38.01;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PAÍS VASCO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;141.500,00;
;456;Compensación financiera al País Vasco derivada del Impuesto Especial sobre las Labores de Tabaco, incluso liquidación definitiva del ejercicio anterior;;120.500,00;
;458;Financiación del Estado del coste de la jubilación anticipada de la policía autónoma vasca;;21.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;141.500,00;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PAÍS VASCO;;141.500,00;
 ; ;;;;
 ; ;;;;
38.02;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;36.000,00;
;458;Financiación del Estado del coste de la jubilación anticipada de la policía de la Generalitat-Mossos d'Esquadra;;36.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;36.000,00;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;36.000,00;
 ; ;;;;
 ; ;;;;
38.13;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. NAVARRA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;2.500,00;
;458;Financiación del Estado del coste de la jubilación anticipada de la policía foral navarra;;2.500,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.500,00;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. NAVARRA;;2.500,00;
 ; ;;;;
 ; ;;;;
38.20;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;342.200,00;
;456;Compensaciones a comunidades autónomas, incluidas obligaciones de ejercicios anteriores (Artículo 6.2 de la Ley Orgánica de Financiación de las Comunidades Autónomas);;342.200,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;342.200,00;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;342.200,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Otras transferencias a Comunidades Autónomas;;522.200,00;
;;



