;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 38 SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;
;Programa: 941O Otras transferencias a Comunidades Autónomas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;38.01;38.02;38.13;38.20;;Total;
4;TRANSFERENCIAS CORRIENTES;141.500,00;36.000,00;2.500,00;342.200,00;;522.200,00;
45; A Comunidades Autónomas;141.500,00;36.000,00;2.500,00;342.200,00;;522.200,00;
;TOTAL;141.500,00;36.000,00;2.500,00;342.200,00;;522.200,00;
;;



