;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 38 SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;
;Programa: 942N Otras transferencias a Entidades Locales;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
38.21;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;46;A Entidades Locales;;220.319,43;
;464;Compensación financiera a Ceuta y Melilla por garantía de recaudación del Impuesto sobre la Producción, los Servicios y la Importación (IPSI);;142.535,00;
;466;Compensación de los beneficios fiscales, concedidos a las personas físicas o jurídicas en los tributos locales, como consecuencia de normas legales del Estado;;77.784,43;
;;TOTAL TRANSFERENCIAS CORRIENTES;;220.319,43;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;220.319,43;
 ; ;;;;
 ; ;;;;
;;TOTAL Otras transferencias a Entidades Locales;;220.319,43;
;;



