;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 01 CASA DE SU MAJESTAD EL REY;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;CASA DE SU MAJESTAD EL REY;;;
v;;911M;;Jefatura del Estado;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;8.431,15;
v;;;480;A S.M. el Rey. Para el sostenimiento de su Familia y Casa (Art. 65 de la Constitución);;8.431,15;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;8.431,15;
 ; ;;;;;;
;;;;TOTAL Jefatura del Estado;;8.431,15;
 ; ;;;;;;
;;;;TOTAL CASA DE SU MAJESTAD EL REY;;8.431,15;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL CASA DE SU MAJESTAD EL REY;;8.431,15;
;;



