Servicio;Programa;Económica;Explicación;Total (miles €);Total (euros)
1;911N;12;Funcionarios;51.525,12;51.525.120,00
1;911N;125;Retribuciones básicas y complementarias de Funcionarios de las Cortes;51.525,12;51.525.120,00
1;911N;15;Incentivos al rendimiento;90;90.000,00
1;911N;150;Productividad;90;90.000,00
1;911N;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;13.855,00;13.855.000,00
1;911N;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;13.855,00;13.855.000,00
1;911N;—;TOTAL GASTOS DE PERSONAL;65.470,12;65.470.120,00
1;911N;20;Arrendamientos y cánones;0,64;640
1;911N;207;Alquileres;0,64;640
1;911N;22;Material, suministros y otros;2.562,93;2.562.930,00
1;911N;220;Material de oficina;2.562,93;2.562.930,00
1;911N;23;Indemnizaciones por razón del servicio;151;151.000,00
1;911N;234;Dietas, locomoción y otras indemnizaciones;151;151.000,00
1;911N;24;Gastos de publicaciones;172,3;172.300,00
1;911N;240;Gastos de edición y distribución;172,3;172.300,00
1;911N;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.886,87;2.886.870,00
1;911N;34;De depósitos y fianzas;3,5;3.500,00
1;911N;340;Intereses de depósitos;3,5;3.500,00
1;911N;—;TOTAL GASTOS FINANCIEROS;3,5;3.500,00
1;911N;48;A familias e instituciones sin fines de lucro;2.992,36;2.992.360,00
1;911N;480;A Familias e Instituciones sin fines de lucro;2.992,36;2.992.360,00
1;911N;49;Al exterior;700;700.000,00
1;911N;490;Al exterior;700;700.000,00
1;911N;—;TOTAL TRANSFERENCIAS CORRIENTES;3.692,36;3.692.360,00
1;911N;—;TOTAL Actividad legislativa;72.052,85;72.052.850,00
1;—;—;TOTAL CORTES GENERALES;72.052,85;72.052.850,00
2;911N;10;Altos cargos;22.371,60;22.371.600,00
2;911N;101;Asignación Constitucional Señores Diputados;22.371,60;22.371.600,00
2;911N;11;Personal eventual;13.197,50;13.197.500,00
2;911N;111;Personal eventual de las Cortes;13.197,50;13.197.500,00
2;911N;12;Funcionarios;1.968,60;1.968.600,00
2;911N;125;Retribuciones básicas y complementarias de Funcionarios de las Cortes;1.968,60;1.968.600,00
2;911N;13;Laborales;6.192,40;6.192.400,00
2;911N;135;Retribuciones del personal laboral de las Cortes;6.192,40;6.192.400,00
2;911N;15;Incentivos al rendimiento;100;100.000,00
2;911N;150;Productividad;100;100.000,00
2;911N;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;6.624,00;6.624.000,00
2;911N;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;6.624,00;6.624.000,00
2;911N;—;TOTAL GASTOS DE PERSONAL;50.454,10;50.454.100,00
2;911N;20;Arrendamientos y cánones;505,05;505.050,00
2;911N;207;Alquileres;505,05;505.050,00
2;911N;21;Reparaciones, mantenimiento y conservación;6.135,20;6.135.200,00
2;911N;217;Gastos diversos de reparación y conservación;6.135,20;6.135.200,00
2;911N;22;Material, suministros y otros;27.777,55;27.777.550,00
2;911N;220;Material de oficina;27.777,55;27.777.550,00
2;911N;23;Indemnizaciones por razón del servicio;10.571,50;10.571.500,00
2;911N;234;Dietas, locomoción y otras indemnizaciones;10.571,50;10.571.500,00
2;911N;24;Gastos de publicaciones;428,7;428.700,00
2;911N;240;Gastos de edición y distribución;428,7;428.700,00
2;911N;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;45.418,00;45.418.000,00
2;911N;34;De depósitos y fianzas;4;4.000,00
2;911N;340;Intereses de depósitos;4;4.000,00
2;911N;—;TOTAL GASTOS FINANCIEROS;4;4.000,00
2;911N;48;A familias e instituciones sin fines de lucro;11.854,30;11.854.300,00
2;911N;480;A Familias e Instituciones sin fines de lucro;11.854,30;11.854.300,00
2;911N;—;TOTAL TRANSFERENCIAS CORRIENTES;11.854,30;11.854.300,00
2;911N;62;Inversión nueva asociada al funcionamiento operativo de los servicios;463,15;463.150,00
2;911N;620;Inversión nueva asociada al funcionamiento operativo de los servicios;463,15;463.150,00
2;911N;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.071,00;1.071.000,00
2;911N;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.071,00;1.071.000,00
2;911N;64;Gastos de inversiones de carácter inmaterial;1.156,75;1.156.750,00
2;911N;640;Gastos en inversiones de carácter inmaterial;1.156,75;1.156.750,00
2;911N;—;TOTAL INVERSIONES REALES;2.690,90;2.690.900,00
2;911N;—;TOTAL Actividad legislativa;110.421,30;110.421.300,00
2;—;—;TOTAL CONGRESO DE LOS DIPUTADOS;110.421,30;110.421.300,00
3;911N;10;Altos cargos;17.301,83;17.301.830,00
3;911N;101;Asignación Constitucional Señores Senadores;17.301,83;17.301.830,00
3;911N;11;Personal eventual;4.104,99;4.104.990,00
3;911N;111;Personal eventual de las Cortes;4.104,99;4.104.990,00
3;911N;13;Laborales;5.818,87;5.818.870,00
3;911N;135;Retribuciones del personal laboral de las Cortes;5.818,87;5.818.870,00
3;911N;15;Incentivos al rendimiento;899,67;899.670,00
3;911N;150;Productividad;899,67;899.670,00
3;911N;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.202,56;3.202.560,00
3;911N;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.202,56;3.202.560,00
3;911N;—;TOTAL GASTOS DE PERSONAL;31.327,92;31.327.920,00
3;911N;20;Arrendamientos y cánones;553,95;553.950,00
3;911N;207;Alquileres;553,95;553.950,00
3;911N;21;Reparaciones, mantenimiento y conservación;699,94;699.940,00
3;911N;217;Gastos diversos de reparación y conservación;699,94;699.940,00
3;911N;22;Material, suministros y otros;11.981,11;11.981.110,00
3;911N;220;Material de oficina;11.981,11;11.981.110,00
3;911N;23;Indemnizaciones por razón del servicio;8.503,03;8.503.030,00
3;911N;234;Dietas, locomoción y otras indemnizaciones;8.503,03;8.503.030,00
3;911N;24;Gastos de publicaciones;280,8;280.800,00
3;911N;240;Gastos de edición y distribución;280,8;280.800,00
3;911N;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;22.018,83;22.018.830,00
3;911N;35;Intereses de demora y otros gastos financieros;388;388.000,00
3;911N;350;Intereses de demora y otros gastos financieros;388;388.000,00
3;911N;—;TOTAL GASTOS FINANCIEROS;388;388.000,00
3;911N;43;A otras entidades del Sector Público Administrativo Estatal;37,5;37.500,00
3;911N;430;A Agencias Estatales y otros Organismos Públicos;37,5;37.500,00
3;911N;48;A familias e instituciones sin fines de lucro;7.786,75;7.786.750,00
3;911N;480;A familias e instituciones sin fines de lucro;7.786,75;7.786.750,00
3;911N;49;Al exterior;2,19;2.190,00
3;911N;490;Al exterior;2,19;2.190,00
3;911N;—;TOTAL TRANSFERENCIAS CORRIENTES;7.826,44;7.826.440,00
3;911N;62;Inversión nueva asociada al funcionamiento operativo de los servicios;298,6;298.600,00
3;911N;620;Inversión nueva asociada al funcionamiento operativo de los servicios;298,6;298.600,00
3;911N;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.576,51;1.576.510,00
3;911N;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.576,51;1.576.510,00
3;911N;64;Gastos de inversiones de carácter inmaterial;650,15;650.150,00
3;911N;640;Gastos en inversiones de carácter inmaterial;650,15;650.150,00
3;911N;—;TOTAL INVERSIONES REALES;2.525,26;2.525.260,00
3;911N;83;Concesión de préstamos fuera del Sector Público;25;25.000,00
3;911N;830;Préstamos a corto plazo;25;25.000,00
3;911N;83008;Familias e instituciones sin fines de lucro;25;25.000,00
3;911N;—;TOTAL ACTIVOS FINANCIEROS;25;25.000,00
3;911N;94;Devolución de depósitos y fianzas;25;25.000,00
3;911N;941;Devolución de fianzas;25;25.000,00
3;911N;—;TOTAL PASIVOS FINANCIEROS;25;25.000,00
3;911N;—;TOTAL Actividad legislativa;64.136,45;64.136.450,00
3;—;—;TOTAL SENADO;64.136,45;64.136.450,00
4;911N;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3,9;3.900,00
4;911N;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;3,9;3.900,00
4;911N;—;TOTAL GASTOS DE PERSONAL;3,9;3.900,00
4;911N;20;Arrendamientos y cánones;0,04;40
4;911N;209;Cánones;0,04;40
4;911N;22;Material, suministros y otros;46,2;46.200,00
4;911N;220;Material de oficina;46,2;46.200,00
4;911N;23;Indemnizaciones por razón del servicio;386,5;386.500,00
4;911N;234;Dietas, locomoción y otras indemnizaciones;386,5;386.500,00
4;911N;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;432,74;432.740,00
4;911N;34;De depósitos y fianzas;0,2;200,00
4;911N;341;Intereses de fianzas;0,2;200
4;911N;—;TOTAL GASTOS FINANCIEROS;0,2;200
4;911N;48;A familias e instituciones sin fines de lucro;41,93;41.930,00
4;911N;480;A Familias e Instituciones sin fines de lucro;41,93;41.930,00
4;911N;—;TOTAL TRANSFERENCIAS CORRIENTES;41,93;41.930,00
4;911N;—;TOTAL Actividad legislativa;478,77;478.770,00
