;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 02 CORTES GENERALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;164.221,54;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;73.644,54;
3; GASTOS FINANCIEROS;398,20;
4; TRANSFERENCIAS CORRIENTES;23.579,73;
;TOTAL OPERACIONES CORRIENTES;261.844,01;
6; INVERSIONES REALES;6.113,16;
;TOTAL OPERACIONES DE CAPITAL;6.113,16;
;TOTAL OPERACIONES NO FINANCIERAS;267.957,17;
8; ACTIVOS FINANCIEROS;25,00;
;TOTAL Capítulos 1-8;267.982,17;
9; PASIVOS FINANCIEROS;25,00;
;TOTAL Capítulo 9;25,00;
;TOTAL PRESUPUESTO;268.007,17;
;TOTAL CONSOLIDADO;268.007,17;
;;



