Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;68.519,87;68.519.870,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.832,27;6.832.270,00
4;TRANSFERENCIAS CORRIENTES;8,5;8.500,00
—;TOTAL OPERACIONES CORRIENTES;75.360,64;75.360.640,00
6;INVERSIONES REALES;2.876,52;2.876.520,00
—;TOTAL OPERACIONES DE CAPITAL;2.876,52;2.876.520,00
—;TOTAL OPERACIONES NO FINANCIERAS;78.237,16;78.237.160,00
8;ACTIVOS FINANCIEROS;135,2;135.200,00
—;TOTAL PRESUPUESTO;78.372,36;78.372.360,00
—;TOTAL CONSOLIDADO;78.372,36;78.372.360,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
