Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;21.252,60;21.252.600,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.658,86;6.658.860,00
3;GASTOS FINANCIEROS;3;3.000,00
4;TRANSFERENCIAS CORRIENTES;1.323,54;1.323.540,00
—;TOTAL OPERACIONES CORRIENTES;29.238,00;29.238.000,00
6;INVERSIONES REALES;1.200,00;1.200.000,00
—;TOTAL OPERACIONES DE CAPITAL;1.200,00;1.200.000,00
—;TOTAL OPERACIONES NO FINANCIERAS;30.438,00;30.438.000,00
8;ACTIVOS FINANCIEROS;48;48.000,00
—;TOTAL PRESUPUESTO;30.486,00;30.486.000,00
—;TOTAL CONSOLIDADO;30.486,00;30.486.000,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
