;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 05 CONSEJO DE ESTADO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;11.170,76;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.874,10;
4; TRANSFERENCIAS CORRIENTES;232,96;
;TOTAL OPERACIONES CORRIENTES;14.277,82;
6; INVERSIONES REALES;400,00;
;TOTAL OPERACIONES DE CAPITAL;400,00;
;TOTAL OPERACIONES NO FINANCIERAS;14.677,82;
8; ACTIVOS FINANCIEROS;9,02;
;TOTAL PRESUPUESTO;14.686,84;
;TOTAL CONSOLIDADO;14.686,84;
;;



