;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 06 DEUDA PÚBLICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
3; GASTOS FINANCIEROS;31.275.104,09;
;TOTAL OPERACIONES CORRIENTES;31.275.104,09;
;TOTAL OPERACIONES NO FINANCIERAS;31.275.104,09;
;TOTAL Capítulos 1-8;31.275.104,09;
9; PASIVOS FINANCIEROS;97.521.737,01;
;TOTAL Capítulo 9;97.521.737,01;
;TOTAL PRESUPUESTO;128.796.841,10;
;TOTAL CONSOLIDADO;128.796.841,10;
;;



