;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 07 CLASES PASIVAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;;
v;;211B;;Pensiones de Clases Pasivas;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;20.369.000,89;
v;;;482;Prestaciones sociales;;20.369.000,89;
;;;48200; Pensiones a funcionarios, de carácter civil;15.010.799,90;;
;;;48201; Pensiones a familias, de carácter civil;1.343.072,61;;
;;;48202; Pensiones a funcionarios, de carácter militar;2.959.864,25;;
;;;48203; Pensiones a familias, de carácter militar;1.055.230,11;;
;;;48204; Pensiones a Camineros;34,02;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;20.369.000,89;
 ; ;;;;;;
;;;;TOTAL Pensiones de Clases Pasivas;;20.369.000,89;
 ; ;;;;;;
v;;211C;;Otras pensiones y prestaciones de Clases Pasivas;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;49.447,74;
v;;;480;Otras pensiones y prestaciones;;49.447,74;
;;;48000; Pensiones a ex ministros;2.379,97;;
;;;48001; Pensiones excepcionales y pensiones a personal no funcionario;544,66;;
;;;48003; Pensiones extraordinarias por terrorismo R.D. 1576/1990;10.100,00;;
;;;48004; Pensiones extraordinarias por terrorismo R.D. 851/1992;2.052,91;;
;;;48005; Pensiones por VIH. Real Decreto-Ley 9/1993;10.503,66;;
;;;48008; Ayudas económicas Ley 35/1995;6.224,02;;
;;;48009; Otras pensiones o indemnizaciones militares;17.642,52;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;49.447,74;
 ; ;;;;;;
;;;;TOTAL Otras pensiones y prestaciones de Clases Pasivas;;49.447,74;
 ; ;;;;;;
v;;212B;;Pensiones de guerra;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;81.093,93;
v;;;481;Pensiones e indemnizaciones de guerra;;81.093,93;
;;;48100; Pensiones a causantes de carácter civil;10.126,04;;
;;;48101; Pensiones a familias de carácter civil;32.734,63;;
;;;48102; Pensiones derivadas de la Ley 37/1984;37.527,37;;
;;;48103; Pensiones a causantes de carácter militar;8,81;;
;;;48104; Pensiones a familias de carácter militar;697,08;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;81.093,93;
 ; ;;;;;;
;;;;TOTAL Pensiones de guerra;;81.093,93;
 ; ;;;;;;
v;;000X;;Transferencias y libramientos internos;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;42;A la Seguridad Social;;249,75;
v;;;420;Aportación del Estado al Presupuesto de la Seguridad Social para dar cumplimiento a lo dispuesto en la disposición adicional tercera del Real Decreto Legislativo 8/2015, de 30 de octubre (Pensiones extraordinarias del personal de las Fuerzas Armadas y Fuerzas y Cuerpos de Seguridad del Estado);;249,75;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;249,75;
 ; ;;;;;;
;;;;TOTAL Transferencias y libramientos internos;;249,75;
 ; ;;;;;;
;;;;TOTAL PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;20.499.792,31;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL CLASES PASIVAS;;20.499.792,31;
;;



