;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 08 CONSEJO GENERAL DEL PODER JUDICIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;CONSEJO GENERAL DEL PODER JUDICIAL;;;
v;;111M;;Gobierno del Poder Judicial;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;3.027,17;
;;;100;Retribuciones básicas y otras remuneraciones;;3.027,17;
;;;10000; Retribuciones básicas;841,04;;
;;;10001; Retribuciones complementarias;2.186,13;;
v;;;11;Personal eventual;;3.568,76;
;;;110;Retribuciones básicas y otras remuneraciones;;3.568,76;
;;;11000; Retribuciones básicas;1.156,64;;
;;;11001; Retribuciones complementarias;2.412,12;;
v;;;12;Funcionarios;;19.660,93;
;;;120;Retribuciones básicas;;7.278,00;
;;;12000; Sueldos del grupo A1 y grupo A;1.559,79;;
;;;12001; Sueldos del grupo A2 y grupo B;2.095,00;;
;;;12002; Sueldos del grupo C1 y grupo C;476,28;;
;;;12003; Sueldos del grupo C2 y grupo D;243,70;;
;;;12005; Trienios;1.554,00;;
;;;12006; Pagas extraordinarias;1.349,23;;
;;;121;Retribuciones complementarias;;12.382,93;
;;;12100; Complemento de destino;2.166,63;;
;;;12101; Complemento específico;7.080,80;;
;;;12103; Otros complementos;1.073,50;;
;;;12181; Necesidades adicionales;2.062,00;;
v;;;13;Laborales;;992,59;
;;;130;Laboral fijo;;992,59;
;;;13000; Retribuciones básicas;528,15;;
;;;13001; Otras remuneraciones;464,44;;
v;;;15;Incentivos al rendimiento;;1.063,00;
v;;;150;Productividad;;1.031,44;
v;;;151;Gratificaciones;;31,56;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.767,17;
;;;160;Cuotas sociales;;1.776,00;
v;;;16000; Seguridad Social;1.776,00;;
;;;162;Gastos sociales del personal;;991,17;
v;;;16200; Formación y perfeccionamiento del personal;80,00;;
v;;;16201; Economatos y comedores;224,48;;
v;;;16204; Acción social;502,94;;
;;;16205; Seguros;60,00;;
;;;16209; Otros;123,75;;
;;;;TOTAL GASTOS DE PERSONAL;;31.079,62;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;132,50;
;;;205;Arrendamientos de mobiliario y enseres;;132,50;
v;;;21;Reparaciones, mantenimiento y conservación;;1.641,69;
;;;212;Edificios y otras construcciones;;619,60;
;;;213;Maquinaria, instalaciones y utillaje;;176,19;
;;;215;Mobiliario y enseres;;70,20;
;;;216;Equipos para procesos de la información;;775,70;
v;;;22;Material, suministros y otros;;5.256,93;
;;;220;Material de oficina;;475,79;
;;;22000; Ordinario no inventariable;49,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;64,90;;
;;;22002; Material informático no inventariable;361,89;;
;;;221;Suministros;;531,10;
;;;22100; Energía eléctrica;380,10;;
;;;22101; Agua;21,00;;
;;;22102; Gas;30,00;;
;;;22104; Vestuario;30,00;;
;;;22106; Productos farmacéuticos y material sanitario;1,00;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;7,00;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;10,00;;
;;;22199; Otros suministros;52,00;;
;;;222;Comunicaciones;;490,20;
;;;22200; Servicios de telecomunicaciones;404,50;;
;;;22201; Postales y mensajería;85,70;;
;;;223;Transportes;;44,00;
;;;224;Primas de seguros;;2,80;
;;;225;Tributos;;194,00;
v;;;22502; Locales;194,00;;
;;;226;Gastos diversos;;598,14;
v;;;22601; Atenciones protocolarias y representativas;235,71;;
;;;22602; Publicidad y propaganda;32,90;;
;;;22603; Jurídicos, contenciosos;75,00;;
;;;22606; Reuniones, conferencias y cursos;254,53;;
;;;227;Trabajos realizados por otras empresas y profesionales;;2.920,90;
;;;22700; Limpieza y aseo;844,20;;
;;;22701; Seguridad;142,00;;
;;;22704; Custodia, depósito y almacenaje;13,00;;
;;;22706; Estudios y trabajos técnicos;1.755,90;;
;;;22799; Otros;165,80;;
v;;;23;Indemnizaciones por razón del servicio;;2.388,14;
;;;230;Dietas;;690,10;
;;;231;Locomoción;;995,64;
;;;233;Otras indemnizaciones;;702,40;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.419,26;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;426,10;
v;;;483;A Asociaciones Judiciales;;426,10;
v;;;49;Al exterior;;12,55;
v;;;490;Cuotas a Organismos Internacionales;;12,55;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;438,65;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.834,72;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.834,72;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;436,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;436,00;
;;;;TOTAL INVERSIONES REALES;;2.270,72;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;50,00;
v;;;830;Préstamos a corto plazo;;50,00;
;;;83008; Familias e instituciones sin fines de lucro;50,00;;
;;;;TOTAL ACTIVOS FINANCIEROS;;50,00;
 ; ;;;;;;
;;;;TOTAL Gobierno del Poder Judicial;;43.258,25;
 ; ;;;;;;
v;;111O;;Selección y formación de jueces;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;10.847,17;
;;;120;Retribuciones básicas;;1.851,60;
;;;12000; Sueldos del grupo A1 y grupo A;527,68;;
;;;12001; Sueldos del grupo A2 y grupo B;549,75;;
;;;12002; Sueldos del grupo C1 y grupo C;73,27;;
;;;12003; Sueldos del grupo C2 y grupo D;55,39;;
;;;12005; Trienios;300,00;;
;;;12006; Pagas extraordinarias;345,51;;
;;;121;Retribuciones complementarias;;2.620,66;
;;;12100; Complemento de destino;566,99;;
;;;12101; Complemento específico;1.787,78;;
;;;12103; Otros complementos;265,89;;
;;;124;Retribuciones de funcionarios en prácticas;;6.374,91;
;;;12400; Sueldos del grupo A1 y grupo A;5.192,13;;
;;;12406; Pagas extraordinarias;865,35;;
;;;12407; Retribuciones complementarias;317,43;;
v;;;13;Laborales;;121,44;
;;;130;Laboral fijo;;121,44;
;;;13000; Retribuciones básicas;62,53;;
;;;13001; Otras remuneraciones;58,91;;
v;;;15;Incentivos al rendimiento;;5,15;
v;;;151;Gratificaciones;;5,15;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.017,51;
;;;160;Cuotas sociales;;2.164,80;
v;;;16000; Seguridad Social;2.164,80;;
;;;162;Gastos sociales del personal;;852,71;
v;;;16201; Economatos y comedores;574,73;;
;;;16202; Transporte de personal;200,00;;
;;;16209; Otros;77,98;;
;;;;TOTAL GASTOS DE PERSONAL;;13.991,27;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;24,20;
;;;205;Arrendamientos de mobiliario y enseres;;23,20;
;;;209;Cánones;;1,00;
v;;;21;Reparaciones, mantenimiento y conservación;;318,80;
;;;212;Edificios y otras construcciones;;290,80;
;;;213;Maquinaria, instalaciones y utillaje;;15,00;
;;;215;Mobiliario y enseres;;8,00;
;;;216;Equipos para procesos de la información;;5,00;
v;;;22;Material, suministros y otros;;2.414,32;
;;;220;Material de oficina;;20,50;
;;;22000; Ordinario no inventariable;11,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;2,50;;
;;;22002; Material informático no inventariable;7,00;;
;;;221;Suministros;;211,70;
;;;22100; Energía eléctrica;145,00;;
;;;22101; Agua;20,00;;
;;;22102; Gas;15,00;;
;;;22104; Vestuario;6,00;;
;;;22106; Productos farmacéuticos y material sanitario;0,40;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;0,30;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;5,00;;
;;;22199; Otros suministros;20,00;;
;;;222;Comunicaciones;;38,60;
;;;22200; Servicios de telecomunicaciones;25,00;;
;;;22201; Postales y mensajería;13,60;;
;;;223;Transportes;;30,00;
;;;224;Primas de seguros;;2,00;
;;;225;Tributos;;20,00;
v;;;22502; Locales;20,00;;
;;;226;Gastos diversos;;1.071,92;
v;;;22601; Atenciones protocolarias y representativas;10,00;;
;;;22606; Reuniones, conferencias y cursos;967,92;;
;;;22607; Oposiciones y pruebas selectivas;94,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;1.019,60;
;;;22700; Limpieza y aseo;230,00;;
;;;22706; Estudios y trabajos técnicos;788,20;;
;;;22799; Otros;1,40;;
v;;;23;Indemnizaciones por razón del servicio;;6.977,65;
;;;230;Dietas;;1.634,98;
;;;231;Locomoción;;1.465,48;
;;;233;Otras indemnizaciones;;3.877,19;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.734,97;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;122,50;
v;;;483;A Asociaciones Judiciales;;32,50;
v;;;484;Ayudas a la formación;;90,00;
v;;;49;Al exterior;;18,00;
v;;;490;Cuotas a Organismos Internacionales;;18,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;140,50;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;151,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;151,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;118,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;118,00;
;;;;TOTAL INVERSIONES REALES;;269,00;
 ; ;;;;;;
;;;;TOTAL Selección y formación de jueces;;24.135,74;
 ; ;;;;;;
v;;111P;;Documentación y publicaciones judiciales;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;2.187,52;
;;;120;Retribuciones básicas;;858,34;
;;;12000; Sueldos del grupo A1 y grupo A;183,54;;
;;;12001; Sueldos del grupo A2 y grupo B;297,16;;
;;;12002; Sueldos del grupo C1 y grupo C;85,49;;
;;;12003; Sueldos del grupo C2 y grupo D;11,08;;
;;;12005; Trienios;118,44;;
;;;12006; Pagas extraordinarias;162,63;;
;;;121;Retribuciones complementarias;;1.329,18;
;;;12100; Complemento de destino;290,49;;
;;;12101; Complemento específico;896,27;;
;;;12103; Otros complementos;142,42;;
v;;;13;Laborales;;343,99;
;;;130;Laboral fijo;;343,99;
;;;13000; Retribuciones básicas;171,61;;
;;;13001; Otras remuneraciones;172,38;;
v;;;15;Incentivos al rendimiento;;3,15;
v;;;151;Gratificaciones;;3,15;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;273,20;
;;;160;Cuotas sociales;;240,00;
v;;;16000; Seguridad Social;240,00;;
;;;162;Gastos sociales del personal;;33,20;
v;;;16200; Formación y perfeccionamiento del personal;10,33;;
v;;;16201; Economatos y comedores;22,32;;
;;;16209; Otros;0,55;;
;;;;TOTAL GASTOS DE PERSONAL;;2.807,86;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;32,00;
;;;205;Arrendamientos de mobiliario y enseres;;8,00;
;;;208;Arrendamientos de otro inmovilizado material;;24,00;
v;;;21;Reparaciones, mantenimiento y conservación;;503,60;
;;;212;Edificios y otras construcciones;;15,00;
;;;213;Maquinaria, instalaciones y utillaje;;1,50;
;;;215;Mobiliario y enseres;;0,60;
;;;216;Equipos para procesos de la información;;486,50;
v;;;22;Material, suministros y otros;;7.122,25;
;;;220;Material de oficina;;1.729,00;
;;;22000; Ordinario no inventariable;6,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;608,90;;
;;;22002; Material informático no inventariable;1.114,10;;
;;;221;Suministros;;41,50;
;;;22100; Energía eléctrica;31,00;;
;;;22101; Agua;3,50;;
;;;22102; Gas;5,00;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;1,00;;
;;;22199; Otros suministros;1,00;;
;;;222;Comunicaciones;;253,60;
;;;22200; Servicios de telecomunicaciones;240,00;;
;;;22201; Postales y mensajería;13,60;;
;;;224;Primas de seguros;;0,70;
;;;226;Gastos diversos;;34,50;
v;;;22601; Atenciones protocolarias y representativas;8,00;;
;;;22606; Reuniones, conferencias y cursos;26,50;;
;;;227;Trabajos realizados por otras empresas y profesionales;;5.062,95;
;;;22700; Limpieza y aseo;45,00;;
;;;22701; Seguridad;34,00;;
;;;22706; Estudios y trabajos técnicos;4.980,75;;
;;;22799; Otros;3,20;;
v;;;23;Indemnizaciones por razón del servicio;;67,00;
;;;230;Dietas;;27,00;
;;;231;Locomoción;;40,00;
v;;;24;Gastos de publicaciones;;147,00;
;;;240;Gastos de edición y distribución;;147,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;7.871,85;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;256,90;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;256,90;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;3,20;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;3,20;
;;;;TOTAL INVERSIONES REALES;;260,10;
 ; ;;;;;;
;;;;TOTAL Documentación y publicaciones judiciales;;10.939,81;
 ; ;;;;;;
;;;;TOTAL CONSEJO GENERAL DEL PODER JUDICIAL;;78.333,80;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL CONSEJO GENERAL DEL PODER JUDICIAL;;78.333,80;
;;



