;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 09 APORTACIONES AL MUTUALISMO ADMINISTRATIVO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;2.281.136,60;
4; TRANSFERENCIAS CORRIENTES;98.330,95;
;TOTAL OPERACIONES CORRIENTES;2.379.467,55;
;TOTAL OPERACIONES NO FINANCIERAS;2.379.467,55;
;TOTAL PRESUPUESTO;2.379.467,55;
4; TRANSFERENCIAS CORRIENTES;-98.330,95;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-98.330,95;
;TOTAL CONSOLIDADO;2.281.136,60;
;;



