;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;420.994,05;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;102.005,11;
3; GASTOS FINANCIEROS;4.040,67;
4; TRANSFERENCIAS CORRIENTES;2.145.208,38;
;TOTAL OPERACIONES CORRIENTES;2.672.248,21;
6; INVERSIONES REALES;120.293,41;
7; TRANSFERENCIAS DE CAPITAL;247.545,79;
;TOTAL OPERACIONES DE CAPITAL;367.839,20;
;TOTAL OPERACIONES NO FINANCIERAS;3.040.087,41;
8; ACTIVOS FINANCIEROS;16.204.265,11;
;TOTAL PRESUPUESTO;19.244.352,52;
4; TRANSFERENCIAS CORRIENTES;-1.294.979,70;
7; TRANSFERENCIAS DE CAPITAL;-105.545,79;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-1.400.525,49;
;TOTAL CONSOLIDADO;17.843.827,03;
;;



