;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;8.056.741,20;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.703.000,98;
3; GASTOS FINANCIEROS;385,95;
4; TRANSFERENCIAS CORRIENTES;207.800,28;
;TOTAL OPERACIONES CORRIENTES;9.967.928,41;
6; INVERSIONES REALES;284.946,60;
7; TRANSFERENCIAS DE CAPITAL;6.003,81;
;TOTAL OPERACIONES DE CAPITAL;290.950,41;
;TOTAL OPERACIONES NO FINANCIERAS;10.258.878,82;
8; ACTIVOS FINANCIEROS;364,26;
;TOTAL Capítulos 1-8;10.259.243,08;
9; PASIVOS FINANCIEROS;4,87;
;TOTAL Capítulo 9;4,87;
;TOTAL PRESUPUESTO;10.259.247,95;
4; TRANSFERENCIAS CORRIENTES;-5.896,30;
7; TRANSFERENCIAS DE CAPITAL;-250,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-6.146,30;
;TOTAL CONSOLIDADO;10.253.101,65;
;;



