Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;177.838,44;177.838.440
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;68.711,17;68.711.170
3;GASTOS FINANCIEROS;3.529,81;3.529.810
4;TRANSFERENCIAS CORRIENTES;3.439.587,84;3.439.587.840
—;TOTAL OPERACIONES CORRIENTES;3.689.667,26;3.689.667.260
6;INVERSIONES REALES;2.617.541,18;2.617.541.180
7;TRANSFERENCIAS DE CAPITAL;3.827.304,54;3.827.304.540
—;TOTAL OPERACIONES DE CAPITAL;6.444.845,72;6.444.845.720
—;TOTAL OPERACIONES NO FINANCIERAS;10.134.512,98;10.134.512.980
8;ACTIVOS FINANCIEROS;1.316.782,94;1.316.782.940
—;TOTAL PRESUPUESTO;11.451.295,92;11.451.295.920
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-131.523,52;-131.523.520
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-8.420,00;-8.420.000
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-139.943,52;-139.943.520
—;TOTAL CONSOLIDADO;11.311.352,40;11.311.352.400
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
