;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;321M;;Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;208,56;
;;;100;Retribuciones básicas y otras remuneraciones;;208,56;
;;;10000; Retribuciones básicas;114,61;;
;;;10001; Retribuciones complementarias;93,95;;
v;;;11;Personal eventual;;510,99;
;;;110;Retribuciones básicas y otras remuneraciones;;510,99;
;;;11000; Retribuciones básicas;191,89;;
;;;11001; Retribuciones complementarias;319,10;;
v;;;12;Funcionarios;;34.431,84;
;;;120;Retribuciones básicas;;6.449,67;
;;;12000; Sueldos del grupo A1 y grupo A;1.099,95;;
;;;12001; Sueldos del grupo A2 y grupo B;912,54;;
;;;12002; Sueldos del grupo C1 y grupo C;1.553,70;;
;;;12003; Sueldos del grupo C2 y grupo D;690,72;;
;;;12005; Trienios;1.002,88;;
;;;12006; Pagas extraordinarias;1.189,88;;
;;;121;Retribuciones complementarias;;27.982,17;
;;;12100; Complemento de destino;2.812,71;;
;;;12101; Complemento específico;3.522,13;;
;;;12102; Indemnización por residencia;894,33;;
;;;12181; Necesidades adicionales;20.753,00;;
v;;;13;Laborales;;7.166,08;
;;;130;Laboral fijo;;6.308,53;
;;;13000; Retribuciones básicas;5.716,16;;
;;;13001; Otras remuneraciones;592,37;;
;;;131;Laboral eventual;;857,55;
v;;;15;Incentivos al rendimiento;;4.762,38;
v;;;150;Productividad;;4.524,97;
v;;;151;Gratificaciones;;237,41;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;5.046,43;
;;;160;Cuotas sociales;;4.290,76;
v;;;16000; Seguridad Social;4.290,76;;
;;;162;Gastos sociales del personal;;755,67;
v;;;16200; Formación y perfeccionamiento del personal;150,00;;
v;;;16204; Acción social;302,85;;
;;;16205; Seguros;10,16;;
;;;16209; Otros;292,66;;
;;;;TOTAL GASTOS DE PERSONAL;;52.126,28;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;104,00;
;;;205;Arrendamientos de mobiliario y enseres;;104,00;
v;;;21;Reparaciones, mantenimiento y conservación;;1.519,86;
;;;212;Edificios y otras construcciones;;285,30;
;;;213;Maquinaria, instalaciones y utillaje;;630,67;
;;;214;Elementos de transporte;;3,00;
;;;215;Mobiliario y enseres;;57,11;
;;;216;Equipos para procesos de la información;;543,78;
v;;;22;Material, suministros y otros;;6.210,88;
;;;220;Material de oficina;;559,72;
;;;22000; Ordinario no inventariable;107,70;;
;;;22001; Prensa, revistas, libros y otras publicaciones;22,02;;
;;;22002; Material informático no inventariable;430,00;;
;;;221;Suministros;;1.418,78;
;;;22100; Energía eléctrica;950,49;;
;;;22101; Agua;64,58;;
;;;22102; Gas;139,91;;
;;;22103; Combustible;39,06;;
;;;22104; Vestuario;99,82;;
;;;22106; Productos farmacéuticos y material sanitario;2,04;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;17,09;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;49,86;;
;;;22199; Otros suministros;55,93;;
;;;222;Comunicaciones;;18,00;
;;;22201; Postales y mensajería;18,00;;
;;;223;Transportes;;280,17;
;;;224;Primas de seguros;;6,00;
;;;225;Tributos;;334,00;
v;;;22502; Locales;334,00;;
;;;226;Gastos diversos;;349,63;
v;;;22601; Atenciones protocolarias y representativas;29,33;;
;;;22602; Publicidad y propaganda;20,00;;
;;;22603; Jurídicos, contenciosos;150,00;;
;;;22606; Reuniones, conferencias y cursos;102,30;;
;;;22607; Oposiciones y pruebas selectivas;48,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;3.244,58;
;;;22706; Estudios y trabajos técnicos;3.067,84;;
;;;22799; Otros;176,74;;
v;;;23;Indemnizaciones por razón del servicio;;900,50;
;;;230;Dietas;;247,78;
;;;231;Locomoción;;187,99;
;;;232;Traslado;;11,41;
;;;233;Otras indemnizaciones;;453,32;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;8.735,24;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;285,26;
v;;;352;Intereses de demora;;18,00;
v;;;354;Liquidación de intereses de demora correspondientes al reconocimiento de diferencias salariales por sentencias y autos;;267,26;
;;;;TOTAL GASTOS FINANCIEROS;;285,26;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;850,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;850,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.823,97;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.823,97;
;;;64;Gastos de inversiones de carácter inmaterial;;909,08;
;;;640;Gastos en inversiones de carácter inmaterial;;909,08;
;;;;TOTAL INVERSIONES REALES;;4.583,05;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;86,06;
v;;;830;Préstamos a corto plazo;;15,00;
;;;83008; Familias e instituciones sin fines de lucro;15,00;;
v;;;831;Préstamos a largo plazo;;71,06;
;;;83108; Familias e instituciones sin fines de lucro;71,06;;
;;;;TOTAL ACTIVOS FINANCIEROS;;86,06;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;;65.815,89;
 ; ;;;;;;
v;;322A;;Educación Infantil y Primaria;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;58.549,21;
;;;120;Retribuciones básicas;;23.664,86;
;;;12001; Sueldos del grupo A2 y grupo B;16.631,42;;
;;;12005; Trienios;3.367,29;;
;;;12006; Pagas extraordinarias;3.666,15;;
;;;121;Retribuciones complementarias;;34.879,22;
;;;12100; Complemento de destino;8.209,65;;
;;;12101; Complemento específico;12.488,85;;
;;;12102; Indemnización por residencia;14.180,72;;
;;;122;Retribuciones en especie;;5,13;
;;;12200; Casa vivienda;5,13;;
v;;;13;Laborales;;90.496,82;
