;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;271.678,15;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;48.998,14;
3; GASTOS FINANCIEROS;2.763,20;
4; TRANSFERENCIAS CORRIENTES;8.334,13;
;TOTAL OPERACIONES CORRIENTES;331.773,62;
6; INVERSIONES REALES;25.824,37;
7; TRANSFERENCIAS DE CAPITAL;53.416,00;
;TOTAL OPERACIONES DE CAPITAL;79.240,37;
;TOTAL OPERACIONES NO FINANCIERAS;411.013,99;
8; ACTIVOS FINANCIEROS;364,90;
;TOTAL PRESUPUESTO;411.378,89;
;TOTAL CONSOLIDADO;411.378,89;
;;



