;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;105.799,54;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.581,51;
3; GASTOS FINANCIEROS;15,17;
4; TRANSFERENCIAS CORRIENTES;745.624,68;
;TOTAL OPERACIONES CORRIENTES;876.020,90;
6; INVERSIONES REALES;965.864,61;
7; TRANSFERENCIAS DE CAPITAL;8.518.026,89;
;TOTAL OPERACIONES DE CAPITAL;9.483.891,50;
;TOTAL OPERACIONES NO FINANCIERAS;10.359.912,40;
8; ACTIVOS FINANCIEROS;942.209,49;
;TOTAL PRESUPUESTO;11.302.121,89;
4; TRANSFERENCIAS CORRIENTES;-289.987,00;
7; TRANSFERENCIAS DE CAPITAL;-4.041.992,07;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-4.331.979,07;
;TOTAL CONSOLIDADO;6.970.142,82;
;;



