;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;451O;;Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;284,67;
;;;100;Retribuciones básicas y otras remuneraciones;;284,67;
;;;10000; Retribuciones básicas;138,91;;
;;;10001; Retribuciones complementarias;145,76;;
v;;;11;Personal eventual;;785,95;
;;;110;Retribuciones básicas y otras remuneraciones;;785,95;
;;;11000; Retribuciones básicas;265,34;;
;;;11001; Retribuciones complementarias;520,61;;
v;;;12;Funcionarios;;22.318,27;
;;;120;Retribuciones básicas;;2.291,82;
;;;12000; Sueldos del grupo A1 y grupo A;758,08;;
;;;12001; Sueldos del grupo A2 y grupo B;456,28;;
;;;12002; Sueldos del grupo C1 y grupo C;294,34;;
;;;12003; Sueldos del grupo C2 y grupo D;112,45;;
;;;12005; Trienios;267,14;;
;;;12006; Pagas extraordinarias;403,53;;
;;;121;Retribuciones complementarias;;17.971,22;
;;;12100; Complemento de destino;1.045,56;;
;;;12101; Complemento específico;1.453,66;;
;;;12181; Necesidades adicionales;15.472,00;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;808,22;
;;;12300; Indemnización por destino en el extranjero;808,22;;
;;;124;Retribuciones de funcionarios en prácticas;;1.247,01;
;;;12400; Sueldos del grupo A1 y grupo A;516,53;;
;;;12401; Sueldos del grupo A2 y grupo B;456,28;;
;;;12402; Sueldos del grupo C1 y grupo C;144,76;;
;;;12406; Pagas extraordinarias;129,44;;
v;;;13;Laborales;;117,40;
;;;130;Laboral fijo;;117,40;
;;;13000; Retribuciones básicas;117,40;;
v;;;15;Incentivos al rendimiento;;7.784,26;
v;;;150;Productividad;;7.200,38;
v;;;151;Gratificaciones;;583,88;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.784,60;
;;;160;Cuotas sociales;;1.533,76;
v;;;16000; Seguridad Social;1.485,76;;
;;;16009; Otras;48,00;;
;;;162;Gastos sociales del personal;;1.250,84;
v;;;16200; Formación y perfeccionamiento del personal;400,00;;
v;;;16201; Economatos y comedores;12,00;;
